,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part D.  NEW AND CONTINUING PROGRAM PARTICIPANTS,,,,,,,,,,,,Part E.  E&T TOTALS FOR THE FNS 583,,,,,,,,,,,,PART F.  POINT-IN-TIME WORK REGISTRANT AND ABAWD COUNTS,,,,,,
,15. Job search participants by month during the quarter (Items 15a plus 15b),,,,15a. ABAWD placements,,,,15b. Non-ABAWD placements,,,,16. Job club participants by month during the quarter (Items 16a plus 16b),,,,16a. ABAWD placements,,,,16b. Non-ABAWD placements,,,,17. Workfare participants by month during the quarter (Items 17a plus 17b),,,,17a. ABAWD placements,,,,17b. Non-ABAWD placements,,,,18. Self-initiated workfare participants by month during the quarter (Items 18a plus 18b),,,,18a. ABAWD placements,,,,18b. Non-ABAWD placements,,,,19. Work experience (OJT) participants by month during the quarter (Items 19a plus 19b),,,,19a. ABAWD placements,,,,19b. Non-ABAWD placements,,,,20. Vocational training participants by month during the quarter (Items 20a plus 20b),,,,20a. ABAWD placements,,,,20b. Non-ABAWD placements,,,,21. Education participants by month during the quarter (Items 21a plus 21b),,,,21a. ABAWD placements,,,,21b. Non-ABAWD placements,,,,22. Job retention participants by month during the quarter (Items 22a plus 22b),,,,22a. ABAWD placements,,,,22b. Non-ABAWD placements,,,,23. Participants in other components offered by the county  by month during the quarter (Items 23a plus 23b),,,,23a. ABAWD participants (List components in Item 23a/23b explanation box),,,,23b. Non-ABAWD participants (List components in Item 23a/23b explanation box),,,,24. ABAWDs that participated in a qualifying E&T component by month during the quarter (Sum of Items 17a through 23a),,,,25. ABAWDs that participated in a non-qualifying E&T component by month during the quarter (Items 15a plus 16a),,,,26. Non-ABAWDs that participated in an E&T component by month during the quarter (Sum of Items 15b through 23b),,,,27. E&T participants who are not ABAWDs in qualifying components by month during the quarter (Items 25 plus 26),,,,28. Work registrants on October 1,29. ABAWDs on October 1 (Include in Item 28),CDSS Use Only:
,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,Month 1,Month 2,Month 3,Quarter Total,,,2939042.0
,(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),(A),(B),(C),(D),,,
Data Cell,145.0,146.0,147.0,148.0,149.0,150.0,151.0,152.0,153.0,154.0,155.0,156.0,157.0,158.0,159.0,160.0,161.0,162.0,163.0,164.0,165.0,166.0,167.0,168.0,169.0,170.0,171.0,172.0,173.0,174.0,175.0,176.0,177.0,178.0,179.0,180.0,181.0,182.0,183.0,184.0,185.0,186.0,187.0,188.0,189.0,190.0,191.0,192.0,193.0,194.0,195.0,196.0,197.0,198.0,199.0,200.0,201.0,202.0,203.0,204.0,205.0,206.0,207.0,208.0,209.0,210.0,211.0,212.0,213.0,214.0,215.0,216.0,217.0,218.0,219.0,220.0,221.0,222.0,223.0,224.0,225.0,226.0,227.0,228.0,229.0,230.0,231.0,232.0,233.0,234.0,235.0,236.0,237.0,238.0,239.0,240.0,241.0,242.0,243.0,244.0,245.0,246.0,247.0,248.0,249.0,250.0,251.0,252.0,253.0,254.0,255.0,256.0,257.0,258.0,259.0,260.0,261.0,262.0,263.0,264.0,265.0,266.0,267.0,268.0,269.0,270.0,
Statewide,5254.0,5431.0,6513.0,17198.0,3270.0,3283.0,3927.0,10480.0,1984.0,2148.0,2586.0,6718.0,1354.0,1068.0,1510.0,3932.0,1028.0,813.0,1131.0,2972.0,326.0,255.0,379.0,960.0,4039.0,3709.0,3783.0,11531.0,2885.0,2684.0,2698.0,8267.0,1154.0,1025.0,1085.0,3264.0,14.0,10.0,12.0,36.0,14.0,9.0,9.0,32.0,0.0,1.0,3.0,4.0,24.0,24.0,22.0,70.0,15.0,18.0,16.0,49.0,9.0,6.0,6.0,21.0,267.0,155.0,152.0,574.0,218.0,126.0,123.0,467.0,49.0,29.0,29.0,107.0,269.0,184.0,187.0,640.0,188.0,116.0,131.0,435.0,81.0,68.0,56.0,205.0,11.0,16.0,13.0,40.0,6.0,8.0,9.0,23.0,5.0,8.0,4.0,17.0,35.0,32.0,29.0,96.0,0.0,0.0,0.0,0.0,35.0,32.0,29.0,96.0,3326.0,2961.0,2986.0,9273.0,4298.0,4096.0,5058.0,13452.0,3643.0,3572.0,4177.0,11392.0,7941.0,7668.0,9235.0,24844.0,880523.0,411171.0,
Alameda ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,17.0,1.0,4.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,17.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,17.0,1397.0,1397.0,
Alpine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Amador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,
Butte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7901.0,4239.0,
Calaveras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1678.0,877.0,
