county,snap_apps_rcvd,init_apps,apps_rcvd_bene_prev_30d,apps_rcvd_bene_prev_60d,apps_rcvd_bene_prev_90d,apps_rcvd_bene_over_90d,ave_days_apprv_bene,cases_sched_recert,recert_rcvd_snap_follow_mth,recert_not_rcvd_snap_follow_mth,incomp_recert_no_bene_reapp,incomp_recert_no_bene_reapp_30d,incomp_recert_no_bene_reapp_60d,incomp_recert_no_bene_reapp_90d,avg_days_btw_notice_recert,pct_reapps_churning,pct_reapps_churning_in_30d,pct_recerts_churning,pct_recerts_churning_in_30d,year,month,pct_apps_rcvd_from_this_county,pct_cases_sched_recert_this_county,quarter,fulldate
Santa Clara,12240.0,7316.0,987.0,475.0,339.0,3123.0,23.0,11654.0,10161.0,1493.0,485.0,141.0,194.0,150.0,41.0,0.1471,0.0806,0.0396,0.0115,2012,SEP,0.022422469366,0.0256561538224,3.0,2012-09-01
Santa Cruz,3362.0,2045.0,163.0,154.0,96.0,904.0,14.7,2567.0,2071.0,496.0,281.0,119.0,96.0,66.0,44.3,0.1228,0.0485,0.0836,0.0354,2012,SEP,0.00615885147129,0.00565122248689,3.0,2012-09-01
Shasta,4232.0,2354.0,107.0,242.0,205.0,1324.0,18.0,4034.0,2762.0,1272.0,874.0,788.0,60.0,26.0,37.0,0.1309,0.0253,0.2065,0.1862,2012,SEP,0.00775260542133,0.00888080697784,3.0,2012-09-01
Sierra,54.0,38.0,3.0,3.0,2.0,8.0,9.7,33.0,26.0,7.0,2.0,2.0,0.0,0.0,38.7,0.1481,0.0556,0.037,0.037,2012,SEP,9.89226589678e-05,7.26491398782e-05,3.0,2012-09-01
Siskiyou,924.0,601.0,21.0,28.0,40.0,234.0,12.7,868.0,599.0,269.0,170.0,158.0,7.0,5.0,34.7,0.0963,0.0227,0.184,0.171,2012,SEP,0.001692676609,0.00191089252771,3.0,2012-09-01
Solano,6250.0,3459.0,186.0,366.0,264.0,1975.0,13.7,5237.0,4281.0,956.0,317.0,75.0,140.0,102.0,47.3,0.1306,0.0298,0.0507,0.012,2012,SEP,0.011449381825,0.0115291983498,3.0,2012-09-01
Sonoma,5087.0,2781.0,406.0,274.0,157.0,1469.0,13.3,3976.0,3279.0,697.0,366.0,184.0,96.0,86.0,39.7,0.1645,0.0798,0.0719,0.0362,2012,SEP,0.00931888085498,0.00875312061078,3.0,2012-09-01
Stanislaus,11309.0,5470.0,243.0,699.0,501.0,4396.0,9.0,12043.0,8159.0,3884.0,2869.0,2604.0,193.0,72.0,40.3,0.1276,0.0215,0.2537,0.2303,2012,SEP,0.0207169694494,0.0265125330774,3.0,2012-09-01
Sutter,1730.0,1005.0,60.0,75.0,92.0,498.0,16.7,1571.0,1134.0,437.0,281.0,257.0,15.0,9.0,39.7,0.1312,0.0347,0.1624,0.1486,2012,SEP,0.00316918888915,0.00345853935602,3.0,2012-09-01
Tehama,1435.0,881.0,84.0,55.0,42.0,373.0,18.3,1345.0,958.0,387.0,269.0,251.0,14.0,4.0,31.3,0.1261,0.0585,0.1875,0.1749,2012,SEP,0.00262877806701,0.00296100282231,3.0,2012-09-01
Trinity,337.0,220.0,12.0,12.0,19.0,74.0,16.3,293.0,149.0,144.0,104.0,92.0,8.0,4.0,38.7,0.1276,0.0356,0.3086,0.273,2012,SEP,0.000617350668003,0.000645036302555,3.0,2012-09-01
Tulare,9667.0,3896.0,1591.0,721.0,465.0,2994.0,6.3,11720.0,10362.0,1358.0,1475.0,1006.0,286.0,183.0,44.3,0.2873,0.1646,0.1526,0.1041,2012,SEP,0.0177089878563,0.0258014521022,3.0,2012-09-01
Tuolumne,925.0,486.0,37.0,67.0,42.0,293.0,16.7,930.0,678.0,252.0,176.0,156.0,14.0,6.0,34.0,0.1578,0.04,0.1903,0.1686,2012,SEP,0.0016945085101,0.00204738485111,3.0,2012-09-01
Ventura,9991.0,4996.0,924.0,783.0,444.0,2844.0,10.0,7688.0,6364.0,1324.0,1005.0,568.0,271.0,166.0,43.0,0.2153,0.0925,0.1006,0.0569,2012,SEP,0.0183025238101,0.0169250481025,3.0,2012-09-01
Yolo,2610.0,1454.0,260.0,117.0,102.0,677.0,14.0,1906.0,1584.0,322.0,210.0,118.0,49.0,43.0,40.7,0.1835,0.0996,0.0805,0.0452,2012,SEP,0.00478126185011,0.00419603820024,3.0,2012-09-01
Yuba,1836.0,1062.0,52.0,84.0,82.0,556.0,15.0,1757.0,1247.0,510.0,340.0,306.0,22.0,12.0,36.7,0.1187,0.0283,0.1852,0.1667,2012,SEP,0.00336337040491,0.00386801632624,3.0,2012-09-01
