county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
Fresno,1658.0,1714.0,-56.0,3942.0,5600.0,3986.0,2868.0,13.0,123.0,0.0,1038.0,0.0,182.0,0.0,80.0,1614.0,14698.0,80353.0,14146.0,77398.0,552.0,2955.0,62.0,2908.0,196.0,0.0,1.0,2634.0,14.0,23.0,197.0,2671.0,-144.0,144.0,9.0,45.0,0.0,8.0,0.0,40.0,14760.0,83261.0,14575.0,82426.0,227680.0,71.0,836.0,175.0,595.0,280.0,12.0,10.0,240.0,922.0,6581.0,13838.0,76680.0,1241.0,5338.0,1063.0,16.0,2.0,4183.0,35.0,10.0,1081.0,4228.0,158.0,2.0,0.0,1090.0,16.0,4.0,160.0,1110.0,4.0,73.0,2015,MAY,136.0,1038.0,182.0,80.0,3507.0,95051.0,2970.0,2830.0,14.0,24.0,2868.0,0.0,40.0,98021.0,97001.0,770.0,250.0,7503.0,90518.0,6579.0,5246.0,51.0,12.0,5309.0,1248.0,18.0,4.0,1270.0,77.0,91544.0,54.0,8.0,2.0,2015-05-01
Glenn,19.0,19.0,0.0,102.0,121.0,95.0,59.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,3.0,26.0,245.0,1206.0,245.0,1206.0,0.0,0.0,-3.0,102.0,1.0,0.0,0.0,56.0,2.0,0.0,1.0,58.0,-6.0,6.0,1.0,4.0,0.0,8.0,1.0,26.0,242.0,1308.0,242.0,1297.0,3717.0,0.0,10.0,0.0,10.0,1.0,0.0,0.0,1.0,12.0,101.0,230.0,1207.0,18.0,89.0,18.0,0.0,0.0,87.0,1.0,0.0,18.0,88.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2015,MAY,0.0,33.0,0.0,3.0,0.0,1451.0,99.0,57.0,2.0,0.0,59.0,0.0,27.0,1550.0,1539.0,10.0,1.0,113.0,1437.0,107.0,105.0,1.0,0.0,106.0,1.0,0.0,0.0,1.0,0.0,1451.0,5.0,8.0,2.0,2015-05-01
Humboldt,209.0,224.0,-15.0,1001.0,1210.0,980.0,486.0,0.0,1.0,0.0,448.0,0.0,0.0,0.0,46.0,230.0,1021.0,10385.0,1021.0,10385.0,0.0,0.0,28.0,869.0,13.0,0.0,0.0,472.0,1.0,0.0,13.0,473.0,-11.0,11.0,5.0,21.0,1.0,62.0,20.0,302.0,1049.0,11254.0,1046.0,11215.0,21304.0,3.0,30.0,3.0,23.0,21.0,1.0,0.0,16.0,59.0,886.0,990.0,10368.0,114.0,724.0,113.0,1.0,0.0,716.0,2.0,0.0,114.0,718.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,2015,MAY,1.0,448.0,0.0,46.0,0.0,11406.0,897.0,485.0,1.0,0.0,486.0,0.0,322.0,12303.0,12261.0,26.0,16.0,945.0,11358.0,838.0,829.0,3.0,0.0,832.0,6.0,0.0,0.0,6.0,0.0,11406.0,26.0,63.0,2.0,2015-05-01
Imperial,477.0,487.0,-10.0,1061.0,1538.0,1002.0,585.0,4.0,17.0,0.0,370.0,0.0,7.0,0.0,47.0,536.0,2341.0,13849.0,2341.0,13849.0,0.0,0.0,105.0,865.0,52.0,1.0,0.0,514.0,12.0,6.0,53.0,532.0,1.0,-1.0,2.0,16.0,8.0,59.0,41.0,259.0,2446.0,14714.0,2411.0,14286.0,42398.0,25.0,419.0,33.0,373.0,64.0,7.0,2.0,55.0,83.0,859.0,2363.0,13855.0,293.0,1314.0,286.0,6.0,0.0,1267.0,30.0,4.0,292.0,1301.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,13.0,0.0,0.0,2015,MAY,21.0,370.0,7.0,47.0,0.0,16190.0,970.0,566.0,13.0,6.0,585.0,0.0,300.0,17160.0,16697.0,406.0,57.0,942.0,16218.0,1607.0,1553.0,36.0,4.0,1593.0,14.0,0.0,0.0,14.0,0.0,16190.0,18.0,67.0,2.0,2015-05-01
Inyo,18.0,18.0,0.0,55.0,73.0,57.0,36.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,16.0,96.0,900.0,96.0,900.0,0.0,0.0,11.0,47.0,4.0,0.0,0.0,32.0,0.0,0.0,4.0,32.0,4.0,-4.0,0.0,0.0,2.0,6.0,1.0,13.0,107.0,947.0,107.0,941.0,2065.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,1.0,5.0,71.0,102.0,876.0,5.0,70.0,5.0,0.0,0.0,68.0,1.0,0.0,5.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2015,MAY,0.0,18.0,0.0,3.0,0.0,996.0,58.0,36.0,0.0,0.0,36.0,0.0,14.0,1054.0,1048.0,5.0,1.0,76.0,978.0,75.0,73.0,1.0,0.0,74.0,1.0,0.0,0.0,1.0,0.0,996.0,0.0,8.0,2.0,2015-05-01
Kern,2508.0,2508.0,0.0,5103.0,7611.0,5162.0,3082.0,2.0,16.0,5.0,1920.0,0.0,12.0,0.0,155.0,2449.0,10840.0,51835.0,10841.0,51835.0,-1.0,0.0,425.0,4422.0,239.0,3.0,1.0,2782.0,40.0,17.0,243.0,2839.0,-86.0,86.0,25.0,63.0,66.0,267.0,177.0,1167.0,11265.0,56257.0,11197.0,55244.0,159234.0,58.0,897.0,66.0,781.0,288.0,21.0,2.0,232.0,459.0,4156.0,10806.0,52101.0,1201.0,4589.0,1188.0,5.0,0.0,4471.0,55.0,11.0,1193.0,4537.0,8.0,0.0,0.0,51.0,1.0,0.0,8.0,52.0,0.0,0.0,2015,MAY,18.0,1925.0,12.0,155.0,-1.0,62675.0,4847.0,3021.0,43.0,18.0,3082.0,0.0,1344.0,67522.0,66441.0,847.0,234.0,4615.0,62907.0,5790.0,5659.0,60.0,11.0,5730.0,59.0,1.0,0.0,60.0,0.0,62676.0,88.0,333.0,2.0,2015-05-01
Kings,2384.0,2387.0,-3.0,713.0,3097.0,694.0,407.0,0.0,0.0,0.0,273.0,0.0,3.0,0.0,14.0,2403.0,1549.0,8565.0,1550.0,8565.0,-1.0,0.0,26.0,668.0,26.0,1.0,0.0,376.0,2.0,2.0,27.0,380.0,-35.0,35.0,5.0,17.0,5.0,36.0,24.0,200.0,1575.0,9233.0,1558.0,9092.0,24924.0,8.0,123.0,17.0,114.0,22.0,5.0,0.0,27.0,83.0,734.0,1492.0,8499.0,157.0,694.0,152.0,3.0,0.0,677.0,4.0,1.0,155.0,682.0,2.0,0.0,0.0,12.0,0.0,0.0,2.0,12.0,0.0,0.0,2015,MAY,0.0,273.0,3.0,14.0,-1.0,10114.0,694.0,402.0,3.0,2.0,407.0,0.0,224.0,10808.0,10650.0,131.0,27.0,817.0,9991.0,851.0,829.0,7.0,1.0,837.0,14.0,0.0,0.0,14.0,0.0,10115.0,22.0,41.0,2.0,2015-05-01
Lake,128.0,129.0,-1.0,357.0,485.0,357.0,210.0,4.0,3.0,0.0,136.0,0.0,0.0,0.0,11.0,128.0,622.0,5205.0,622.0,5205.0,0.0,0.0,39.0,388.0,12.0,0.0,0.0,196.0,0.0,2.0,12.0,198.0,-1.0,1.0,2.0,14.0,2.0,15.0,24.0,160.0,661.0,5593.0,661.0,5560.0,12115.0,2.0,26.0,0.0,23.0,12.0,0.0,0.0,10.0,32.0,409.0,629.0,5184.0,73.0,397.0,73.0,0.0,0.0,392.0,3.0,0.0,73.0,395.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2015,MAY,7.0,136.0,0.0,11.0,0.0,5827.0,427.0,208.0,0.0,2.0,210.0,0.0,184.0,6254.0,6221.0,23.0,10.0,441.0,5813.0,470.0,465.0,3.0,0.0,468.0,2.0,0.0,0.0,2.0,0.0,5827.0,16.0,17.0,2.0,2015-05-01
Lassen,72.0,73.0,-1.0,118.0,190.0,112.0,75.0,1.0,4.0,0.0,37.0,0.0,0.0,0.0,0.0,78.0,270.0,1164.0,270.0,1164.0,0.0,0.0,15.0,141.0,3.0,0.0,0.0,72.0,0.0,0.0,3.0,72.0,-5.0,5.0,1.0,2.0,5.0,16.0,11.0,46.0,285.0,1305.0,285.0,1303.0,3268.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,124.0,262.0,1181.0,19.0,114.0,19.0,0.0,0.0,111.0,0.0,0.0,19.0,111.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2015,MAY,5.0,37.0,0.0,0.0,0.0,1434.0,156.0,75.0,0.0,0.0,75.0,0.0,57.0,1590.0,1588.0,2.0,0.0,147.0,1443.0,133.0,130.0,0.0,0.0,130.0,3.0,0.0,0.0,3.0,0.0,1434.0,3.0,21.0,2.0,2015-05-01
Los Angeles,8857.0,16910.0,-8053.0,44949.0,53806.0,37783.0,26800.0,97.0,518.0,1342.0,7111.0,93.0,398.0,599.0,1931.0,16023.0,75161.0,466115.0,74458.0,462079.0,703.0,4036.0,4864.0,42532.0,1734.0,46.0,3.0,24479.0,288.0,250.0,1783.0,25017.0,98.0,67.0,239.0,58.0,1417.0,1186.0,1327.0,16204.0,80025.0,508647.0,77880.0,498870.0,1165890.0,851.0,9495.0,2081.0,6002.0,4713.0,264.0,64.0,3775.0,4055.0,39716.0,75970.0,468931.0,5587.0,26240.0,5134.0,166.0,5.0,24129.0,370.0,171.0,5305.0,24670.0,275.0,7.0,0.0,1534.0,26.0,10.0,282.0,1570.0,169.0,1722.0,2015,MAY,615.0,8453.0,491.0,2530.0,4739.0,541276.0,47396.0,26213.0,334.0,253.0,26800.0,165.0,17531.0,588672.0,576750.0,8083.0,3839.0,43771.0,544901.0,31827.0,29263.0,536.0,176.0,29975.0,1809.0,33.0,10.0,1852.0,1891.0,536537.0,297.0,2603.0,2.0,2015-05-01
Madera,2649.0,2649.0,0.0,590.0,3239.0,627.0,382.0,2.0,1.0,1.0,212.0,1.0,0.0,0.0,32.0,2612.0,2013.0,9359.0,2013.0,9359.0,0.0,0.0,98.0,671.0,26.0,0.0,0.0,354.0,2.0,0.0,26.0,356.0,17.0,-17.0,3.0,16.0,14.0,77.0,38.0,239.0,2111.0,10030.0,2098.0,9966.0,29686.0,0.0,79.0,12.0,59.0,7.0,0.0,1.0,5.0,77.0,645.0,2034.0,9385.0,234.0,726.0,229.0,3.0,0.0,719.0,4.0,0.0,232.0,723.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2015,MAY,3.0,213.0,1.0,32.0,0.0,11372.0,769.0,380.0,2.0,0.0,382.0,0.0,277.0,12141.0,12064.0,71.0,6.0,722.0,11419.0,960.0,948.0,7.0,0.0,955.0,5.0,0.0,0.0,5.0,0.0,11372.0,19.0,91.0,2.0,2015-05-01
Marin,182.0,184.0,-2.0,506.0,688.0,494.0,308.0,1.0,6.0,0.0,168.0,0.0,3.0,0.0,18.0,194.0,645.0,5448.0,645.0,5448.0,0.0,0.0,26.0,471.0,14.0,1.0,2.0,274.0,13.0,4.0,17.0,291.0,-3.0,3.0,1.0,4.0,3.0,46.0,8.0,127.0,671.0,5919.0,629.0,5661.0,10357.0,7.0,279.0,39.0,196.0,74.0,8.0,3.0,62.0,31.0,524.0,640.0,5395.0,57.0,362.0,54.0,3.0,0.0,336.0,16.0,6.0,57.0,358.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,2015,MAY,7.0,168.0,3.0,18.0,0.0,6093.0,497.0,288.0,14.0,6.0,308.0,0.0,135.0,6590.0,6290.0,235.0,65.0,555.0,6035.0,419.0,390.0,19.0,6.0,415.0,3.0,0.0,1.0,4.0,0.0,6093.0,5.0,49.0,2.0,2015-05-01
Mariposa,27.0,30.0,-3.0,62.0,89.0,69.0,42.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0,5.0,20.0,138.0,908.0,138.0,909.0,0.0,-1.0,5.0,81.0,1.0,0.0,0.0,41.0,0.0,0.0,1.0,41.0,-7.0,7.0,1.0,8.0,0.0,4.0,10.0,21.0,143.0,989.0,143.0,986.0,2153.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,72.0,140.0,917.0,16.0,68.0,16.0,0.0,0.0,67.0,0.0,0.0,16.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2015,MAY,2.0,22.0,0.0,5.0,-1.0,1046.0,86.0,42.0,0.0,0.0,42.0,0.0,31.0,1132.0,1129.0,3.0,0.0,75.0,1057.0,84.0,83.0,0.0,0.0,83.0,1.0,0.0,0.0,1.0,0.0,1047.0,9.0,4.0,2.0,2015-05-01
Mendocino,291.0,293.0,-2.0,451.0,742.0,444.0,335.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.0,298.0,715.0,5800.0,715.0,5800.0,0.0,0.0,61.0,509.0,18.0,0.0,0.0,316.0,0.0,1.0,18.0,317.0,10.0,-10.0,1.0,6.0,8.0,54.0,24.0,142.0,776.0,6309.0,772.0,6268.0,13139.0,3.0,31.0,4.0,26.0,18.0,0.0,0.0,15.0,58.0,548.0,718.0,5761.0,64.0,461.0,64.0,0.0,0.0,459.0,2.0,0.0,64.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,MAY,0.0,100.0,0.0,9.0,0.0,6515.0,570.0,334.0,0.0,1.0,335.0,0.0,166.0,7085.0,7040.0,30.0,15.0,606.0,6479.0,525.0,523.0,2.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0,6515.0,7.0,62.0,2.0,2015-05-01
Merced,439.0,459.0,-20.0,1394.0,1833.0,1371.0,811.0,0.0,2.0,2.0,454.0,0.0,0.0,0.0,104.0,462.0,4598.0,19430.0,4598.0,19430.0,0.0,0.0,85.0,1472.0,63.0,0.0,0.0,745.0,3.0,0.0,63.0,748.0,-80.0,80.0,8.0,39.0,24.0,146.0,70.0,459.0,4683.0,20902.0,4664.0,20816.0,59316.0,2.0,97.0,19.0,74.0,11.0,2.0,0.0,12.0,227.0,1430.0,4456.0,19472.0,437.0,1553.0,433.0,3.0,0.0,1520.0,5.0,0.0,436.0,1525.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,28.0,0.0,0.0,2015,MAY,2.0,456.0,0.0,104.0,0.0,24028.0,1557.0,808.0,3.0,0.0,811.0,0.0,529.0,25585.0,25480.0,93.0,12.0,1657.0,23928.0,1990.0,1953.0,8.0,0.0,1961.0,29.0,0.0,0.0,29.0,0.0,24028.0,47.0,170.0,2.0,2015-05-01
Modoc,21.0,21.0,0.0,33.0,54.0,42.0,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,12.0,75.0,357.0,75.0,357.0,0.0,0.0,2.0,38.0,2.0,0.0,0.0,21.0,0.0,0.0,2.0,21.0,-3.0,3.0,0.0,1.0,0.0,0.0,3.0,13.0,77.0,395.0,77.0,394.0,1018.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,38.0,73.0,357.0,9.0,26.0,9.0,0.0,0.0,26.0,0.0,0.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,MAY,0.0,19.0,0.0,0.0,0.0,432.0,40.0,23.0,0.0,0.0,23.0,0.0,16.0,472.0,471.0,1.0,0.0,42.0,430.0,35.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,432.0,1.0,0.0,2.0,2015-05-01
Mono,32.0,32.0,0.0,82.0,114.0,80.0,60.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,34.0,10.0,442.0,10.0,442.0,0.0,0.0,3.0,82.0,1.0,0.0,0.0,59.0,0.0,0.0,1.0,59.0,1.0,-1.0,1.0,2.0,0.0,8.0,0.0,14.0,13.0,524.0,13.0,522.0,871.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,71.0,13.0,453.0,2.0,47.0,2.0,0.0,0.0,46.0,0.0,0.0,2.0,46.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2015,MAY,0.0,17.0,0.0,3.0,0.0,452.0,85.0,60.0,0.0,0.0,60.0,0.0,14.0,537.0,535.0,1.0,1.0,71.0,466.0,49.0,48.0,0.0,0.0,48.0,1.0,0.0,0.0,1.0,0.0,452.0,3.0,8.0,2.0,2015-05-01
Monterey,557.0,567.0,-10.0,1550.0,2107.0,1524.0,845.0,0.0,0.0,1.0,611.0,0.0,0.0,0.0,67.0,583.0,3800.0,18847.0,3800.0,18848.0,0.0,-1.0,-340.0,1977.0,35.0,2.0,0.0,798.0,6.0,4.0,37.0,808.0,-475.0,475.0,2.0,24.0,19.0,201.0,77.0,469.0,3460.0,20824.0,3425.0,20542.0,53982.0,9.0,604.0,35.0,241.0,44.0,6.0,0.0,41.0,214.0,2387.0,3246.0,18437.0,531.0,1155.0,525.0,5.0,0.0,1129.0,10.0,2.0,530.0,1141.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,14.0,0.0,0.0,2015,MAY,0.0,612.0,0.0,67.0,-1.0,22647.0,1637.0,833.0,8.0,4.0,845.0,0.0,546.0,24284.0,23967.0,276.0,41.0,2601.0,21683.0,1686.0,1654.0,15.0,2.0,1671.0,15.0,0.0,0.0,15.0,0.0,22648.0,26.0,220.0,2.0,2015-05-01
Napa,129.0,131.0,-2.0,258.0,387.0,274.0,115.0,0.0,3.0,0.0,135.0,0.0,2.0,0.0,24.0,113.0,372.0,3165.0,372.0,3165.0,0.0,0.0,5.0,223.0,5.0,0.0,0.0,106.0,4.0,0.0,5.0,110.0,-4.0,4.0,2.0,10.0,0.0,15.0,2.0,84.0,377.0,3388.0,366.0,3322.0,7657.0,3.0,75.0,10.0,56.0,11.0,1.0,1.0,10.0,11.0,300.0,366.0,3088.0,33.0,219.0,33.0,0.0,0.0,210.0,5.0,1.0,33.0,216.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2015,MAY,3.0,135.0,2.0,24.0,0.0,3537.0,228.0,111.0,4.0,0.0,115.0,0.0,86.0,3765.0,3688.0,66.0,11.0,311.0,3454.0,252.0,243.0,5.0,1.0,249.0,3.0,0.0,0.0,3.0,0.0,3537.0,12.0,15.0,2.0,2015-05-01
Nevada,253.0,254.0,-1.0,307.0,560.0,295.0,161.0,1.0,4.0,0.0,122.0,0.0,1.0,0.0,12.0,265.0,344.0,3675.0,344.0,3675.0,0.0,0.0,21.0,270.0,4.0,0.0,0.0,156.0,1.0,0.0,4.0,157.0,6.0,-6.0,2.0,7.0,0.0,18.0,9.0,94.0,365.0,3945.0,364.0,3932.0,7801.0,2.0,13.0,1.0,11.0,3.0,0.0,0.0,2.0,31.0,345.0,334.0,3600.0,44.0,270.0,44.0,0.0,0.0,257.0,1.0,0.0,44.0,258.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,2015,MAY,5.0,122.0,1.0,12.0,0.0,4019.0,291.0,160.0,1.0,0.0,161.0,0.0,103.0,4310.0,4296.0,12.0,2.0,376.0,3934.0,314.0,301.0,1.0,0.0,302.0,12.0,0.0,0.0,12.0,0.0,4019.0,9.0,18.0,2.0,2015-05-01
Orange,2078.0,14161.0,-12083.0,7269.0,9347.0,7062.0,5191.0,5.0,62.0,116.0,1536.0,12.0,134.0,27.0,192.0,2285.0,11977.0,102636.0,26200.0,82086.0,-14223.0,20550.0,690.0,7656.0,300.0,7.0,2.0,4704.0,94.0,84.0,309.0,4882.0,4.0,-4.0,9.0,17.0,7.0,6.0,361.0,2755.0,12667.0,110292.0,12426.0,106934.0,255861.0,312.0,3074.0,233.0,2156.0,1679.0,9.0,8.0,1202.0,694.0,8250.0,11973.0,102042.0,959.0,5552.0,923.0,21.0,0.0,4695.0,108.0,33.0,944.0,4836.0,15.0,0.0,0.0,693.0,11.0,12.0,15.0,716.0,0.0,0.0,2015,MAY,67.0,1652.0,146.0,219.0,6327.0,114613.0,8346.0,5004.0,101.0,86.0,5191.0,0.0,3116.0,122959.0,119360.0,2389.0,1210.0,8944.0,114015.0,6511.0,5618.0,129.0,33.0,5780.0,708.0,11.0,12.0,731.0,0.0,108286.0,26.0,13.0,2.0,2015-05-01
Placer,251.0,251.0,0.0,604.0,855.0,568.0,300.0,3.0,5.0,0.0,224.0,0.0,16.0,0.0,44.0,287.0,840.0,7673.0,840.0,7673.0,0.0,0.0,91.0,752.0,21.0,0.0,0.0,277.0,1.0,1.0,21.0,279.0,0.0,0.0,4.0,38.0,16.0,142.0,50.0,293.0,931.0,8425.0,916.0,8368.0,17987.0,0.0,67.0,15.0,35.0,18.0,8.0,0.0,22.0,118.0,871.0,813.0,7554.0,49.0,403.0,48.0,0.0,0.0,389.0,2.0,0.0,48.0,391.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,12.0,0.0,0.0,2015,MAY,8.0,224.0,16.0,44.0,0.0,8513.0,843.0,298.0,1.0,1.0,300.0,0.0,343.0,9356.0,9284.0,50.0,22.0,989.0,8367.0,452.0,437.0,2.0,0.0,439.0,13.0,0.0,0.0,13.0,0.0,8513.0,42.0,158.0,2.0,2015-05-01
Plumas,28.0,28.0,0.0,74.0,102.0,76.0,33.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,3.0,26.0,114.0,958.0,114.0,958.0,0.0,0.0,-2.0,74.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,32.0,-6.0,6.0,1.0,6.0,1.0,10.0,1.0,20.0,112.0,1032.0,112.0,1030.0,2017.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,99.0,108.0,933.0,12.0,40.0,12.0,0.0,0.0,39.0,0.0,0.0,12.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2015,MAY,0.0,40.0,0.0,3.0,0.0,1072.0,72.0,33.0,0.0,0.0,33.0,0.0,21.0,1144.0,1142.0,1.0,1.0,103.0,1041.0,52.0,51.0,0.0,0.0,51.0,1.0,0.0,0.0,1.0,0.0,1072.0,7.0,11.0,2.0,2015-05-01
Riverside,2643.0,2683.0,-40.0,9865.0,12508.0,9714.0,5474.0,2.0,6.0,5.0,3951.0,0.0,7.0,0.0,284.0,2794.0,17362.0,102260.0,17362.0,102265.0,0.0,-5.0,796.0,8576.0,365.0,3.0,0.0,5062.0,35.0,9.0,368.0,5106.0,-63.0,63.0,44.0,143.0,87.0,741.0,360.0,2523.0,18158.0,110836.0,18025.0,109666.0,292454.0,106.0,1099.0,128.0,938.0,283.0,16.0,5.0,232.0,914.0,8793.0,17244.0,102043.0,1815.0,8486.0,1791.0,12.0,0.0,8320.0,55.0,7.0,1803.0,8382.0,12.0,0.0,0.0,103.0,1.0,0.0,12.0,104.0,0.0,0.0,2015,MAY,8.0,3956.0,7.0,284.0,-5.0,119622.0,9372.0,5427.0,38.0,9.0,5474.0,0.0,2883.0,128994.0,127691.0,1066.0,237.0,9707.0,119287.0,10301.0,10111.0,67.0,7.0,10185.0,115.0,1.0,0.0,116.0,0.0,119627.0,187.0,828.0,2.0,2015-05-01
