county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
California,-1183.0,40617.0,99552.0,140169.0,96258.0,58464.0,454.0,890.0,5917.0,24408.0,126.0,471.0,1667.0,5802.0,43911.0,-453.0,299667.0,34082.0,14956.0,952.0,103.0,38906.0,2077.0,1470.0,16011.0,5762.0,12309.0,333749.0,305451.0,1692691.0,6205.0,62129.0,26971.0,17123.0,5841.0,1327.0,35361.0,298388.0,1089.0,317633.0,64170.0,42453.0,5870.0,15847.0,381803.0,336536.0,29092.0,16171.0,59607.0,322196.0,25201.0,21962.0,2195.0,104.0,18061.0,2105.0,869.0,24261.0,815.0,122.0,3.0,2820.0,211.0,69.0,940.0,569.0,24135.0,21035.0,3100.0,452.0,2002,OCT,1344.0,30325.0,597.0,7469.0,636.0,617300.0,98252.0,53862.0,3029.0,1573.0,58464.0,11632.0,28156.0,715552.0,641987.0,56063.0,17498.0,94968.0,620584.0,49336.0,40023.0,4300.0,973.0,45296.0,3635.0,333.0,72.0,4040.0,1021.0,4.0,2002-10-01
Alameda,,1264.0,3514.0,4778.0,3570.0,2014.0,52.0,19.0,9.0,1267.0,0.0,1.0,0.0,280.0,1208.0,,12088.0,1799.0,797.0,21.0,9.0,1159.0,17.0,11.0,827.0,59.0,913.0,13887.0,13696.0,52908.0,108.0,200.0,191.0,293.0,0.0,0.0,1324.0,12563.0,,5534.0,1760.0,1187.0,42.0,531.0,7294.0,6971.0,93.0,230.0,1386.0,5908.0,979.0,915.0,64.0,0.0,348.0,18.0,14.0,979.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,1.0,395.0,380.0,15.0,1.0,2002,OCT,71.0,1276.0,1.0,280.0,,17622.0,3559.0,1956.0,38.0,20.0,2014.0,101.0,1444.0,21181.0,20667.0,284.0,230.0,2710.0,18471.0,1374.0,1263.0,82.0,14.0,1359.0,14.0,0.0,1.0,15.0,2.0,4.0,2002-10-01
Alpine,,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,15.0,4.0,4.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,19.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2002,OCT,0.0,0.0,0.0,0.0,,32.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,36.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2002-10-01
Amador,,41.0,86.0,127.0,77.0,50.0,1.0,2.0,0.0,20.0,0.0,0.0,0.0,7.0,50.0,,120.0,30.0,5.0,0.0,0.0,45.0,0.0,0.0,5.0,18.0,7.0,150.0,148.0,891.0,0.0,2.0,2.0,0.0,0.0,0.0,30.0,120.0,,223.0,78.0,45.0,14.0,19.0,301.0,301.0,0.0,0.0,71.0,230.0,2.0,2.0,0.0,0.0,25.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,39.0,25.0,14.0,0.0,2002,OCT,3.0,20.0,0.0,7.0,,343.0,108.0,50.0,0.0,0.0,50.0,32.0,26.0,451.0,449.0,2.0,0.0,101.0,350.0,41.0,27.0,0.0,0.0,27.0,14.0,0.0,0.0,14.0,0.0,4.0,2002-10-01
Butte,,347.0,900.0,1247.0,902.0,466.0,9.0,64.0,54.0,284.0,4.0,87.0,38.0,60.0,345.0,,2633.0,358.0,102.0,0.0,0.0,362.0,2.0,0.0,102.0,138.0,118.0,2991.0,2961.0,15482.0,0.0,31.0,28.0,2.0,15.0,2.0,452.0,2539.0,,3374.0,818.0,364.0,240.0,214.0,4192.0,4160.0,24.0,8.0,621.0,3571.0,144.0,133.0,3.0,0.0,219.0,0.0,0.0,136.0,8.0,0.0,0.0,79.0,0.0,0.0,8.0,3.0,298.0,219.0,79.0,28.0,2002,OCT,73.0,338.0,91.0,98.0,,6007.0,1176.0,464.0,2.0,0.0,466.0,378.0,332.0,7183.0,7121.0,52.0,10.0,1073.0,6110.0,442.0,352.0,3.0,0.0,355.0,87.0,0.0,0.0,87.0,31.0,4.0,2002-10-01
Calaveras,,56.0,108.0,164.0,114.0,62.0,0.0,5.0,5.0,33.0,0.0,5.0,3.0,11.0,50.0,,155.0,51.0,7.0,0.0,0.0,55.0,0.0,0.0,7.0,22.0,22.0,206.0,205.0,1352.0,0.0,0.0,0.0,1.0,11.0,1.0,42.0,164.0,,356.0,91.0,55.0,26.0,10.0,447.0,443.0,0.0,4.0,87.0,360.0,12.0,11.0,0.0,0.0,34.0,0.0,0.0,11.0,1.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0,54.0,34.0,20.0,3.0,2002,OCT,5.0,38.0,5.0,14.0,,511.0,142.0,62.0,0.0,0.0,62.0,48.0,32.0,653.0,648.0,0.0,5.0,129.0,524.0,66.0,45.0,0.0,0.0,45.0,21.0,0.0,0.0,21.0,3.0,4.0,2002-10-01
Colusa,-1.0,13.0,68.0,81.0,50.0,36.0,0.0,0.0,3.0,6.0,0.0,0.0,3.0,2.0,31.0,,77.0,24.0,6.0,0.0,0.0,26.0,3.0,1.0,6.0,14.0,4.0,101.0,94.0,1005.0,0.0,46.0,7.0,6.0,6.0,0.0,24.0,77.0,,241.0,62.0,30.0,16.0,16.0,303.0,265.0,30.0,8.0,74.0,229.0,5.0,5.0,0.0,0.0,24.0,2.0,0.0,5.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,52.0,26.0,26.0,0.0,2002,OCT,0.0,9.0,0.0,5.0,,318.0,86.0,32.0,3.0,1.0,36.0,30.0,20.0,404.0,359.0,37.0,8.0,98.0,306.0,57.0,29.0,2.0,0.0,31.0,25.0,1.0,0.0,26.0,0.0,4.0,2002-10-01
Contra Costa,,582.0,1843.0,2425.0,1872.0,891.0,0.0,1.0,7.0,851.0,0.0,0.0,1.0,122.0,553.0,114.0,4237.0,835.0,344.0,4.0,0.0,515.0,17.0,11.0,348.0,34.0,453.0,5072.0,4769.0,19590.0,6.0,478.0,295.0,104.0,30.0,8.0,751.0,4321.0,-7.0,2791.0,944.0,543.0,29.0,372.0,3735.0,3567.0,82.0,86.0,824.0,2911.0,365.0,351.0,12.0,2.0,182.0,17.0,3.0,365.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,222.0,202.0,20.0,1.0,2002,OCT,1.0,858.0,0.0,123.0,107.0,7028.0,1779.0,859.0,21.0,11.0,891.0,63.0,825.0,8807.0,8336.0,377.0,94.0,1575.0,7232.0,587.0,533.0,29.0,5.0,567.0,18.0,2.0,0.0,20.0,1.0,4.0,2002-10-01
Del Norte,,48.0,169.0,217.0,175.0,115.0,0.0,5.0,6.0,35.0,0.0,6.0,6.0,13.0,42.0,,472.0,112.0,19.0,0.0,0.0,96.0,0.0,0.0,19.0,59.0,34.0,584.0,579.0,3081.0,0.0,7.0,5.0,0.0,1.0,0.0,104.0,480.0,,645.0,226.0,96.0,61.0,69.0,871.0,868.0,2.0,1.0,193.0,678.0,27.0,25.0,1.0,0.0,42.0,1.0,0.0,26.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,4.0,55.0,43.0,12.0,16.0,2002,OCT,5.0,41.0,6.0,19.0,,1117.0,338.0,115.0,0.0,0.0,115.0,120.0,103.0,1455.0,1447.0,7.0,1.0,297.0,1158.0,82.0,67.0,2.0,0.0,69.0,13.0,0.0,0.0,13.0,20.0,4.0,2002-10-01
El Dorado,-3.0,112.0,371.0,483.0,358.0,190.0,10.0,12.0,26.0,96.0,0.0,2.0,16.0,30.0,125.0,,500.0,208.0,45.0,1.0,0.0,142.0,1.0,1.0,46.0,86.0,76.0,708.0,634.0,3473.0,2.0,19.0,73.0,1.0,8.0,1.0,172.0,536.0,,808.0,320.0,144.0,90.0,86.0,1128.0,1032.0,88.0,8.0,282.0,846.0,34.0,32.0,0.0,0.0,66.0,0.0,0.0,32.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,0.0,98.0,66.0,32.0,1.0,2002,OCT,22.0,122.0,2.0,46.0,,1308.0,528.0,187.0,2.0,1.0,190.0,176.0,162.0,1836.0,1666.0,161.0,9.0,454.0,1382.0,132.0,98.0,0.0,0.0,98.0,34.0,0.0,0.0,34.0,1.0,4.0,2002-10-01
Fresno,,943.0,3341.0,4284.0,3346.0,2960.0,0.0,4.0,8.0,354.0,0.0,0.0,1.0,23.0,938.0,,14487.0,1733.0,556.0,31.0,2.0,2183.0,155.0,33.0,589.0,268.0,876.0,16220.0,14788.0,86651.0,24.0,2506.0,1416.0,155.0,81.0,16.0,1751.0,14469.0,,10941.0,3324.0,2371.0,54.0,899.0,14265.0,13416.0,707.0,142.0,3271.0,10994.0,1250.0,1158.0,90.0,2.0,879.0,100.0,11.0,1250.0,0.0,0.0,0.0,21.0,2.0,5.0,0.0,0.0,1018.0,990.0,28.0,1.0,2002,OCT,4.0,362.0,0.0,24.0,,25428.0,5057.0,2739.0,186.0,35.0,2960.0,322.0,1775.0,30485.0,28204.0,2123.0,158.0,5022.0,25463.0,2268.0,2037.0,190.0,13.0,2240.0,21.0,2.0,5.0,28.0,1.0,4.0,2002-10-01
Glenn,-5.0,50.0,110.0,160.0,100.0,63.0,0.0,0.0,6.0,24.0,0.0,0.0,4.0,3.0,60.0,,254.0,81.0,16.0,0.0,0.0,47.0,0.0,0.0,16.0,51.0,14.0,335.0,272.0,1862.0,0.0,11.0,63.0,6.0,0.0,0.0,118.0,217.0,,374.0,174.0,47.0,94.0,33.0,548.0,385.0,158.0,5.0,139.0,409.0,18.0,16.0,0.0,0.0,28.0,1.0,0.0,16.0,2.0,0.0,0.0,21.0,0.0,0.0,2.0,1.0,50.0,29.0,21.0,0.0,2002,OCT,0.0,30.0,0.0,7.0,,628.0,255.0,63.0,0.0,0.0,63.0,145.0,47.0,883.0,657.0,221.0,5.0,257.0,626.0,68.0,44.0,1.0,0.0,45.0,23.0,0.0,0.0,23.0,1.0,4.0,2002-10-01
Humboldt,-2.0,382.0,635.0,1017.0,637.0,360.0,16.0,52.0,38.0,170.0,7.0,28.0,27.0,42.0,380.0,,1273.0,256.0,25.0,0.0,0.0,334.0,0.0,1.0,25.0,148.0,83.0,1529.0,1515.0,4631.0,0.0,42.0,7.0,7.0,0.0,7.0,246.0,1283.0,,2407.0,709.0,335.0,141.0,233.0,3116.0,3096.0,13.0,7.0,676.0,2440.0,93.0,87.0,2.0,0.0,176.0,1.0,0.0,89.0,4.0,0.0,0.0,79.0,0.0,0.0,4.0,2.0,256.0,177.0,79.0,9.0,2002,OCT,68.0,208.0,35.0,69.0,,3680.0,965.0,359.0,0.0,1.0,360.0,289.0,316.0,4645.0,4611.0,20.0,14.0,922.0,3723.0,349.0,263.0,3.0,0.0,266.0,83.0,0.0,0.0,83.0,11.0,4.0,2002-10-01
Imperial,-2.0,387.0,551.0,938.0,651.0,401.0,50.0,125.0,41.0,131.0,21.0,62.0,27.0,51.0,287.0,,1967.0,391.0,84.0,19.0,0.0,250.0,37.0,11.0,103.0,251.0,37.0,2358.0,1915.0,18184.0,35.0,1081.0,441.0,16.0,120.0,2.0,457.0,1901.0,,3743.0,797.0,298.0,374.0,125.0,4540.0,3861.0,565.0,114.0,570.0,3970.0,154.0,113.0,31.0,0.0,302.0,51.0,8.0,144.0,10.0,0.0,0.0,100.0,2.0,0.0,10.0,12.0,463.0,361.0,102.0,40.0,2002,OCT,175.0,172.0,83.0,78.0,,5710.0,1188.0,334.0,56.0,11.0,401.0,625.0,162.0,6898.0,5776.0,1006.0,116.0,1027.0,5871.0,617.0,415.0,82.0,8.0,505.0,110.0,2.0,0.0,112.0,52.0,4.0,2002-10-01
Inyo,,9.0,65.0,74.0,59.0,42.0,0.0,1.0,1.0,14.0,0.0,3.0,0.0,2.0,15.0,,57.0,18.0,6.0,0.0,0.0,36.0,0.0,0.0,6.0,9.0,3.0,75.0,75.0,729.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,59.0,,250.0,48.0,36.0,10.0,2.0,298.0,298.0,0.0,0.0,40.0,258.0,3.0,3.0,0.0,0.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,32.0,19.0,13.0,0.0,2002,OCT,1.0,15.0,3.0,2.0,,307.0,66.0,42.0,0.0,0.0,42.0,19.0,5.0,373.0,373.0,0.0,0.0,56.0,317.0,35.0,22.0,0.0,0.0,22.0,13.0,0.0,0.0,13.0,0.0,4.0,2002-10-01
Kern,,1177.0,2770.0,3947.0,2618.0,1690.0,20.0,39.0,130.0,618.0,1.0,26.0,63.0,117.0,1329.0,,6924.0,1579.0,321.0,8.0,0.0,1269.0,73.0,19.0,329.0,966.0,284.0,8503.0,8122.0,62772.0,35.0,1212.0,375.0,21.0,89.0,6.0,1361.0,7142.0,,10215.0,2745.0,1361.0,830.0,554.0,12960.0,12071.0,800.0,89.0,2431.0,10529.0,638.0,583.0,23.0,1.0,1100.0,82.0,3.0,607.0,30.0,1.0,0.0,451.0,5.0,1.0,31.0,1.0,1642.0,1185.0,457.0,15.0,2002,OCT,59.0,748.0,27.0,180.0,,17139.0,4324.0,1590.0,81.0,19.0,1690.0,1796.0,838.0,21463.0,20193.0,1175.0,95.0,3792.0,17671.0,2280.0,1683.0,105.0,4.0,1792.0,481.0,6.0,1.0,488.0,16.0,4.0,2002-10-01
