county,apps_for_fs_adjustment,apps_for_fs_pending_prev_mo,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_recerts_disp_of,recerts_nacf_tot_cont_elig,recerts_nacf_tot_inelig,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,quarter,fulldate
California,-8096.0,85297.0,174844.0,260141.0,167576.0,103229.0,659.0,3721.0,4458.0,50998.0,35.0,6016.0,798.0,8093.0,92565.0,2113.0,335400.0,16676.0,11290.0,265.0,8.0,89719.0,1361.0,586.0,11563.0,-2724.0,7837.0,352076.0,346714.0,3496222.0,1913.0,26216.0,5275.0,8967.0,286.0,87.0,9489.0,342587.0,11423.0,1054288.0,138646.0,91666.0,6118.0,40862.0,1192934.0,1168148.0,17673.0,7113.0,120780.0,1072154.0,24720.0,23560.0,354.0,1.0,2009.0,856.0,264.0,23915.0,794.0,11.0,0.0,3258.0,84.0,18.0,805.0,0.0,71523.0,68163.0,3360.0,10.0,2010,AUG,4380.0,55456.0,6051.0,8891.0,13536.0,1389688.0,155322.0,101009.0,1626.0,594.0,103229.0,3394.0,48699.0,1545010.0,1514862.0,22948.0,7200.0,130269.0,1414741.0,96243.0,25569.0,1210.0,265.0,92078.0,4052.0,95.0,18.0,4165.0,10.0,3.0,2010-08-01
Alameda,0.0,5490.0,4844.0,10334.0,5048.0,3252.0,100.0,494.0,2.0,1596.0,1.0,628.0,0.0,198.0,5286.0,-944.0,12388.0,1125.0,347.0,21.0,0.0,2805.0,51.0,28.0,368.0,614.0,143.0,13513.0,13144.0,116917.0,74.0,1410.0,365.0,510.0,0.0,4.0,184.0,13329.0,87.0,37939.0,5080.0,2884.0,599.0,1597.0,43019.0,41818.0,823.0,378.0,4394.0,38625.0,923.0,881.0,26.0,0.0,1826.0,32.0,17.0,907.0,16.0,0.0,0.0,138.0,6.0,2.0,16.0,0.0,2021.0,1875.0,146.0,6.0,2010,AUG,594.0,1598.0,629.0,198.0,-857.0,50327.0,6205.0,3152.0,72.0,28.0,3252.0,1213.0,1740.0,56532.0,54962.0,1188.0,382.0,4578.0,51954.0,2944.0,2707.0,58.0,17.0,2782.0,154.0,6.0,2.0,162.0,6.0,3.0,2010-08-01
Alpine,0.0,1.0,7.0,8.0,8.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,7.0,7.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,65.0,5.0,5.0,0.0,0.0,70.0,70.0,0.0,0.0,5.0,65.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2010,AUG,0.0,1.0,0.0,1.0,2.0,71.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,77.0,77.0,0.0,0.0,8.0,69.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2010-08-01
Amador,,130.0,191.0,321.0,177.0,87.0,2.0,8.0,4.0,66.0,0.0,3.0,0.0,20.0,144.0,,241.0,2.0,10.0,0.0,0.0,77.0,0.0,0.0,10.0,-15.0,7.0,243.0,243.0,2655.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,230.0,,902.0,111.0,77.0,15.0,19.0,1013.0,1012.0,1.0,0.0,91.0,922.0,15.0,15.0,0.0,0.0,71.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,71.0,1.0,0.0,2010,AUG,10.0,70.0,3.0,20.0,,1143.0,113.0,87.0,0.0,0.0,87.0,0.0,26.0,1256.0,1255.0,1.0,0.0,104.0,1152.0,87.0,86.0,0.0,0.0,86.0,1.0,0.0,0.0,1.0,0.0,3.0,2010-08-01
Butte,39.0,1158.0,1452.0,2610.0,1502.0,825.0,53.0,676.0,0.0,538.0,0.0,21.0,0.0,139.0,1108.0,90.0,1901.0,171.0,55.0,0.0,0.0,766.0,3.0,1.0,55.0,63.0,53.0,2072.0,2068.0,25937.0,3.0,49.0,4.0,16.0,55.0,0.0,145.0,1927.0,-238.0,9286.0,1057.0,770.0,154.0,133.0,10343.0,10224.0,48.0,71.0,789.0,9554.0,171.0,168.0,0.0,0.0,753.0,1.0,0.0,168.0,3.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,761.0,754.0,7.0,0.0,2010,AUG,729.0,538.0,21.0,139.0,-148.0,11187.0,1228.0,821.0,3.0,1.0,825.0,217.0,186.0,12415.0,12292.0,52.0,71.0,934.0,11481.0,932.0,921.0,1.0,0.0,922.0,10.0,0.0,0.0,10.0,0.0,3.0,2010-08-01
Calaveras,-3.0,94.0,217.0,311.0,226.0,135.0,0.0,0.0,2.0,62.0,0.0,0.0,1.0,26.0,85.0,19.0,410.0,9.0,16.0,0.0,0.0,118.0,1.0,0.0,16.0,-24.0,17.0,419.0,418.0,4339.0,0.0,6.0,1.0,0.0,0.0,0.0,24.0,395.0,48.0,1525.0,161.0,119.0,24.0,18.0,1686.0,1683.0,3.0,0.0,123.0,1563.0,31.0,27.0,0.0,0.0,94.0,0.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,94.0,94.0,0.0,0.0,2010,AUG,0.0,64.0,0.0,27.0,67.0,1935.0,170.0,134.0,1.0,0.0,135.0,0.0,35.0,2105.0,2101.0,4.0,0.0,147.0,1958.0,125.0,121.0,0.0,0.0,121.0,4.0,0.0,0.0,4.0,0.0,3.0,2010-08-01
Colusa,,66.0,90.0,156.0,102.0,48.0,0.0,0.0,3.0,42.0,0.0,0.0,1.0,8.0,54.0,,116.0,10.0,4.0,0.0,0.0,43.0,1.0,0.0,4.0,5.0,1.0,126.0,123.0,1562.0,0.0,11.0,3.0,2.0,0.0,0.0,10.0,116.0,,439.0,63.0,44.0,15.0,4.0,502.0,492.0,8.0,2.0,68.0,434.0,8.0,8.0,0.0,0.0,33.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,34.0,1.0,0.0,2010,AUG,0.0,45.0,0.0,9.0,,555.0,73.0,47.0,1.0,0.0,48.0,20.0,5.0,628.0,615.0,11.0,2.0,78.0,550.0,43.0,41.0,1.0,0.0,42.0,1.0,0.0,0.0,1.0,0.0,3.0,2010-08-01
Contra Costa,-64.0,3613.0,3481.0,7094.0,3577.0,1808.0,43.0,361.0,0.0,1495.0,0.0,852.0,0.0,274.0,3517.0,-89.0,6464.0,156.0,218.0,4.0,0.0,1562.0,19.0,5.0,222.0,-136.0,70.0,6620.0,6548.0,59726.0,23.0,366.0,71.0,95.0,0.0,1.0,94.0,6526.0,129.0,18077.0,2939.0,1586.0,136.0,1217.0,21016.0,20713.0,237.0,66.0,2515.0,18501.0,454.0,448.0,1.0,0.0,921.0,5.0,0.0,449.0,5.0,0.0,0.0,38.0,1.0,0.0,5.0,0.0,965.0,926.0,39.0,0.0,2010,AUG,404.0,1495.0,852.0,274.0,40.0,24541.0,3095.0,1780.0,23.0,5.0,1808.0,0.0,1287.0,27636.0,27261.0,308.0,67.0,2609.0,25027.0,1419.0,1369.0,6.0,0.0,1375.0,43.0,1.0,0.0,44.0,0.0,3.0,2010-08-01
Del Norte,-3.0,61.0,230.0,291.0,222.0,143.0,1.0,0.0,6.0,66.0,0.0,0.0,0.0,7.0,69.0,20.0,545.0,6.0,28.0,0.0,0.0,114.0,0.0,1.0,28.0,-25.0,3.0,551.0,552.0,5147.0,1.0,7.0,0.0,7.0,0.0,-1.0,20.0,531.0,14.0,1837.0,151.0,115.0,25.0,11.0,1988.0,1965.0,8.0,15.0,211.0,1777.0,41.0,40.0,0.0,0.0,131.0,0.0,0.0,40.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,134.0,131.0,3.0,0.0,2010,AUG,1.0,72.0,0.0,7.0,34.0,2382.0,157.0,142.0,0.0,1.0,143.0,0.0,14.0,2539.0,2517.0,8.0,14.0,231.0,2308.0,175.0,171.0,0.0,0.0,171.0,4.0,0.0,0.0,4.0,0.0,3.0,2010-08-01
El Dorado,-13.0,390.0,799.0,1189.0,776.0,456.0,0.0,2.0,5.0,259.0,0.0,0.0,0.0,56.0,413.0,19.0,741.0,10.0,47.0,2.0,0.0,405.0,2.0,0.0,49.0,-49.0,10.0,751.0,741.0,10043.0,2.0,27.0,10.0,2.0,0.0,0.0,45.0,706.0,72.0,3877.0,486.0,407.0,49.0,30.0,4363.0,4343.0,17.0,3.0,442.0,3921.0,54.0,54.0,0.0,0.0,310.0,1.0,1.0,54.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,314.0,312.0,2.0,0.0,2010,AUG,2.0,264.0,0.0,56.0,91.0,4618.0,496.0,452.0,4.0,0.0,456.0,0.0,40.0,5114.0,5084.0,27.0,3.0,487.0,4627.0,368.0,364.0,1.0,1.0,366.0,2.0,0.0,0.0,2.0,0.0,3.0,2010-08-01
Fresno,0.0,1516.0,6325.0,7841.0,5973.0,4448.0,0.0,0.0,1.0,1309.0,0.0,1.0,0.0,215.0,1868.0,-214.0,17489.0,464.0,363.0,3.0,0.0,4046.0,28.0,8.0,366.0,-2.0,100.0,17953.0,17875.0,199060.0,34.0,569.0,78.0,131.0,0.0,0.0,213.0,17740.0,392.0,55462.0,6565.0,4082.0,2.0,2481.0,62027.0,61466.0,454.0,107.0,6306.0,55721.0,1177.0,1156.0,8.0,0.0,2992.0,20.0,4.0,1164.0,13.0,0.0,0.0,250.0,8.0,1.0,13.0,0.0,3275.0,3016.0,259.0,0.0,2010,AUG,0.0,1310.0,1.0,215.0,178.0,72951.0,7029.0,4409.0,31.0,8.0,4448.0,0.0,2581.0,79980.0,79341.0,532.0,107.0,6519.0,73461.0,4452.0,4148.0,28.0,4.0,4180.0,263.0,8.0,1.0,272.0,0.0,3.0,2010-08-01
Glenn,-6.0,89.0,172.0,261.0,163.0,79.0,0.0,0.0,5.0,63.0,0.0,1.0,0.0,16.0,98.0,16.0,336.0,-2.0,11.0,0.0,0.0,68.0,0.0,0.0,11.0,-23.0,10.0,334.0,333.0,3092.0,0.0,13.0,1.0,1.0,0.0,0.0,14.0,320.0,5.0,833.0,101.0,68.0,23.0,10.0,934.0,922.0,11.0,1.0,115.0,819.0,31.0,29.0,0.0,0.0,65.0,0.0,0.0,29.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,66.0,65.0,1.0,0.0,2010,AUG,0.0,68.0,1.0,16.0,21.0,1169.0,99.0,79.0,0.0,0.0,79.0,0.0,20.0,1268.0,1255.0,12.0,1.0,129.0,1139.0,97.0,94.0,0.0,0.0,94.0,3.0,0.0,0.0,3.0,0.0,3.0,2010-08-01
Humboldt,68.0,597.0,1070.0,1667.0,1000.0,664.0,1.0,14.0,0.0,254.0,0.0,2.0,0.0,82.0,667.0,0.0,1084.0,141.0,44.0,0.0,1.0,618.0,1.0,0.0,45.0,74.0,22.0,1225.0,1224.0,14090.0,0.0,33.0,1.0,5.0,0.0,0.0,68.0,1157.0,0.0,5318.0,940.0,619.0,202.0,119.0,6258.0,6243.0,10.0,5.0,642.0,5616.0,84.0,83.0,0.0,0.0,561.0,0.0,1.0,83.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,565.0,562.0,3.0,0.0,2010,AUG,15.0,254.0,2.0,82.0,0.0,6402.0,1081.0,662.0,1.0,1.0,664.0,276.0,141.0,7483.0,7467.0,11.0,5.0,710.0,6773.0,649.0,644.0,0.0,1.0,645.0,4.0,0.0,0.0,4.0,0.0,3.0,2010-08-01
Imperial,-11.0,673.0,1288.0,1961.0,1214.0,707.0,1.0,1.0,21.0,405.0,0.0,0.0,1.0,80.0,747.0,55.0,2652.0,73.0,80.0,2.0,0.0,601.0,20.0,4.0,82.0,-76.0,67.0,2725.0,2673.0,32467.0,10.0,302.0,52.0,39.0,0.0,0.0,105.0,2620.0,70.0,8980.0,767.0,625.0,76.0,66.0,9747.0,9452.0,258.0,37.0,771.0,8976.0,213.0,190.0,4.0,0.0,855.0,12.0,6.0,194.0,19.0,0.0,0.0,18.0,1.0,0.0,19.0,0.0,892.0,873.0,19.0,0.0,2010,AUG,2.0,426.0,0.0,81.0,125.0,11632.0,840.0,681.0,22.0,4.0,707.0,0.0,133.0,12472.0,12125.0,310.0,37.0,876.0,11596.0,1105.0,1045.0,16.0,6.0,1067.0,37.0,1.0,0.0,38.0,0.0,3.0,2010-08-01
