county,apps_for_fs_pending_prev_mo,apps_for_fs_reported_pending_end_prev_mo,apps_for_fs_adjustment,apps_for_fs_rcv_curr_mo,apps_for_fs_tot_during_mo,apps_for_fs_disposed,apps_for_fs_approved,apps_for_fs_approved_pacf_over_30d,apps_for_fs_approved_nacf_over_30d,apps_for_fs_pacf_denied,apps_for_fs_nacf_denied,apps_for_fs_pacf_denied_over_30d,apps_for_fs_nacf_denied_over_30d,apps_for_fs_pacf_withdrawn,apps_for_fs_nacf_withdrawn,apps_for_fs_pending_end_mo,cert_case_mvmt_pacf_cases_forward_prev_mo,cert_case_mvmt_nacf_cases_forward_prev_mo,cert_case_mvmt_pacf_cases_reported_pending_prev_mo,cert_case_mvmt_nacf_cases_reported_pending_prev_mo,cert_case_mvmt_pacf_adjustment,cert_case_mvmt_nacf_adjustment,cert_case_mvmt_pacf_cases_added,cert_case_mvmt_nacf_cases_added,cert_case_mvmt_pacf_fed_apps_approved,cert_case_mvmt_pacf_fed_st_apps_approved,cert_case_mvmt_pacf_st_apps_approved,cert_case_mvmt_nacf_fed_apps_approved,cert_case_mvmt_nacf_fed_st_apps_approved,cert_case_mvmt_nacf_st_apps_approved,cert_case_mvmt_pacf_tot_apps_approved,cert_case_mvmt_nacf_tot_apps_approved,cert_case_mvmt_pacf_trans_from_nacf,cert_case_mvmt_nacf_trans_from_pacf,cert_case_mvmt_pacf_intercounty_trans,cert_case_mvmt_nacf_intercounty_trans,cert_case_mvmt_pacf_elig_reinstated_bene_prorated,cert_case_mvmt_nacf_elig_reinstated_bene_prorated,cert_case_mvmt_pacf_other_approvals,cert_case_mvmt_nacf_other_approvals,cert_case_mvmt_pacf_tot_cases_open_during_mo,cert_case_mvmt_nacf_tot_cases_open_during_mo,cert_case_mvmt_pacf_pure_fed_cases,cert_case_mvmt_nacf_pure_fed_cases,cert_case_mvmt_tot_fed_pers_count,cert_case_mvmt_comb_cases_st_singles,cert_case_mvmt_comb_cases_st_families,cert_case_mvmt_pacf_fed_st_cases,cert_case_mvmt_nacf_fed_st_cases,cert_case_mvmt_st_cases_st_pers_singles,cert_case_mvmt_st_cases_st_pers_families,cert_case_mvmt_pacf_pure_st_cases,cert_case_mvmt_nacf_pure_st_cases,cert_case_mvmt_pacf_cases_termin_during_mo,cert_case_mvmt_nacf_cases_termin_during_mo,cert_case_mvmt_pacf_cases_forward_next_mo,cert_case_mvmt_nacf_cases_forward_next_mo,recerts_pacf_recerts_disp_of,recerts_nacf_recerts_disp_of,recerts_pacf_fed_cont_elig,recerts_pacf_fed_st_cont_elig,recerts_pacf_st_cont_elig,recerts_nacf_fed_cont_elig,recerts_nacf_fed_st_cont_elig,recerts_nacf_st_cont_elig,recerts_pacf_tot_cont_elig,recerts_nacf_tot_cont_elig,recerts_pacf_fed_inelig,recerts_pacf_fed_st_inelig,recerts_pacf_st_inelig,recerts_nacf_fed_inelig,recerts_nacf_fed_st_inelig,recerts_nacf_st_inelig,recerts_pacf_tot_inelig,recerts_nacf_tot_inelig,recerts_pacf_overdue_recert_cwd,recerts_nacf_overdue_recert_cwd,year,month,apps_for_fs_approved_tot_over_30d,apps_for_fs_tot_denied,apps_for_fs_tot_denied_over_30d,apps_for_fs_tot_withdrawn,cert_case_mvmt_tot_adjustment,cert_case_mvmt_tot_cases_forward_prev_mo,cert_case_mvmt_tot_cases_added,cert_case_mvmt_tot_fed_apps_approved,cert_case_mvmt_tot_fed_st_apps_approved,cert_case_mvmt_tot_st_apps_approved,cert_case_mvmt_tot_tot_apps_approved,cert_case_mvmt_tot_trans_from_other,cert_case_mvmt_tot_other_approvals,cert_case_mvmt_tot_tot_cases_open_during_mo,cert_case_mvmt_tot_pure_fed_cases,cert_case_mvmt_tot_fed_st_cases,cert_case_mvmt_tot_pure_st_cases,cert_case_mvmt_tot_cases_termin_during_mo,cert_case_mvmt_tot_cases_forward_next_mo,recerts_tot_recerts_disp_of,recerts_tot_fed_cont_elig,recerts_tot_fed_st_cont_elig,recerts_tot_st_cont_elig,recerts_tot_tot_cont_elig,recerts_tot_fed_inelig,recerts_tot_fed_st_inelig,recerts_tot_st_inelig,recerts_tot_tot_inelig,recerts_tot_overdue_recert_cwd,cert_case_mvmt_tot_cases_reported_pending_prev_mo,cert_case_mvmt_tot_intercounty_trans,cert_case_mvmt_tot_elig_reinstated_bene_prorated,quarter,fulldate
Santa Cruz,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,2014,APR,17.0,21.0,25.0,29.0,43.0,35.0,47.0,53.0,55.0,57.0,63.0,67.0,79.0,83.0,87.0,97.0,105.0,109.0,113.0,117.0,123.0,125.0,127.0,133.0,139.0,141.0,143.0,149.0,153.0,39.0,71.0,75.0,2.0,2014-04-01
California,87844.0,98064.0,-10220.0,158859.0,246703.0,154471.0,94774.0,422.0,3485.0,1790.0,49343.0,131.0,3534.0,762.0,7802.0,92232.0,325418.0,1601858.0,328620.0,1596435.0,-3202.0,5423.0,16505.0,139862.0,7078.0,136.0,12.0,85680.0,1329.0,773.0,7226.0,87548.0,-693.0,1148.0,1056.0,1726.0,1378.0,5134.0,7538.0,44306.0,341923.0,1741720.0,336966.0,1710942.0,4388415.0,2647.0,30289.0,4792.0,20874.0,12856.0,586.0,165.0,9904.0,13897.0,129004.0,328026.0,1612716.0,27896.0,111406.0,26543.0,439.0,10.0,103099.0,1273.0,404.0,26992.0,104776.0,876.0,27.0,1.0,6474.0,130.0,26.0,904.0,6630.0,127.0,952.0,2014,APR,3907.0,51133.0,3665.0,8564.0,2221.0,1927276.0,156367.0,92758.0,1465.0,785.0,94774.0,455.0,51844.0,2083643.0,2047908.0,25666.0,10069.0,142901.0,1940742.0,139302.0,129642.0,1712.0,414.0,131768.0,7350.0,157.0,27.0,7534.0,1079.0,1925055.0,2782.0,6512.0,2.0,2014-04-01
Alameda,3797.0,3956.0,-159.0,3843.0,7640.0,3655.0,2222.0,23.0,293.0,0.0,1284.0,0.0,306.0,0.0,149.0,3985.0,9914.0,54178.0,10014.0,53524.0,-100.0,654.0,772.0,4519.0,220.0,5.0,2.0,1928.0,48.0,19.0,227.0,1995.0,0.0,0.0,12.0,41.0,19.0,247.0,514.0,2236.0,10686.0,58697.0,10399.0,56925.0,136435.0,155.0,1732.0,279.0,1252.0,714.0,0.0,8.0,520.0,681.0,4468.0,10005.0,54229.0,731.0,2956.0,699.0,18.0,0.0,2775.0,83.0,10.0,717.0,2868.0,14.0,0.0,0.0,86.0,2.0,0.0,14.0,88.0,0.0,0.0,2014,APR,316.0,1284.0,306.0,149.0,554.0,64092.0,5291.0,2148.0,53.0,21.0,2222.0,0.0,2750.0,69383.0,67324.0,1531.0,528.0,5149.0,64234.0,3687.0,3474.0,101.0,10.0,3585.0,100.0,2.0,0.0,102.0,0.0,63538.0,53.0,266.0,2.0,2014-04-01
Alpine,1.0,1.0,0.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,105.0,4.0,105.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,108.0,4.0,108.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,103.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,APR,0.0,0.0,0.0,1.0,0.0,109.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,112.0,112.0,0.0,0.0,5.0,107.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,2.0,2014-04-01
Amador,69.0,69.0,0.0,148.0,217.0,171.0,89.0,0.0,3.0,0.0,68.0,0.0,1.0,0.0,14.0,46.0,185.0,1478.0,185.0,1478.0,0.0,0.0,0.0,152.0,1.0,0.0,0.0,88.0,0.0,0.0,1.0,88.0,-4.0,4.0,0.0,3.0,0.0,10.0,3.0,47.0,185.0,1630.0,185.0,1626.0,3482.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,150.0,174.0,1480.0,13.0,151.0,12.0,0.0,0.0,143.0,0.0,0.0,12.0,143.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0,2014,APR,3.0,68.0,1.0,14.0,0.0,1663.0,152.0,89.0,0.0,0.0,89.0,0.0,50.0,1815.0,1811.0,4.0,0.0,161.0,1654.0,164.0,155.0,0.0,0.0,155.0,9.0,0.0,0.0,9.0,0.0,1663.0,3.0,10.0,2.0,2014-04-01
Butte,835.0,842.0,-7.0,1491.0,2326.0,1544.0,927.0,12.0,94.0,0.0,521.0,0.0,42.0,0.0,96.0,782.0,1971.0,11999.0,1971.0,11999.0,0.0,0.0,146.0,1351.0,38.0,0.0,0.0,880.0,5.0,4.0,38.0,889.0,24.0,-24.0,4.0,14.0,5.0,74.0,75.0,398.0,2117.0,13350.0,2110.0,13284.0,30856.0,6.0,50.0,7.0,43.0,28.0,5.0,0.0,23.0,142.0,981.0,1975.0,12369.0,196.0,1180.0,192.0,1.0,0.0,1142.0,3.0,0.0,193.0,1145.0,3.0,0.0,0.0,35.0,0.0,0.0,3.0,35.0,0.0,0.0,2014,APR,106.0,521.0,42.0,96.0,0.0,13970.0,1497.0,918.0,5.0,4.0,927.0,0.0,473.0,15467.0,15394.0,50.0,23.0,1123.0,14344.0,1376.0,1334.0,4.0,0.0,1338.0,38.0,0.0,0.0,38.0,0.0,13970.0,18.0,79.0,2.0,2014-04-01
Calaveras,94.0,99.0,-5.0,207.0,301.0,225.0,144.0,1.0,5.0,0.0,73.0,0.0,0.0,0.0,8.0,76.0,285.0,2226.0,285.0,2226.0,0.0,0.0,7.0,202.0,6.0,0.0,0.0,137.0,1.0,0.0,6.0,138.0,-5.0,5.0,3.0,7.0,0.0,9.0,3.0,43.0,292.0,2428.0,292.0,2421.0,5139.0,0.0,4.0,0.0,3.0,5.0,0.0,0.0,4.0,18.0,149.0,274.0,2279.0,26.0,176.0,26.0,0.0,0.0,171.0,1.0,0.0,26.0,172.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2014,APR,6.0,73.0,0.0,8.0,0.0,2511.0,209.0,143.0,1.0,0.0,144.0,0.0,46.0,2720.0,2713.0,3.0,4.0,167.0,2553.0,202.0,197.0,1.0,0.0,198.0,4.0,0.0,0.0,4.0,0.0,2511.0,10.0,9.0,2.0,2014-04-01
Colusa,70.0,70.0,0.0,88.0,158.0,87.0,34.0,0.0,11.0,0.0,43.0,0.0,6.0,0.0,10.0,71.0,119.0,577.0,119.0,577.0,0.0,0.0,8.0,68.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,32.0,6.0,11.0,0.0,2.0,0.0,7.0,0.0,16.0,127.0,645.0,127.0,640.0,1823.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0,1.0,15.0,70.0,112.0,575.0,8.0,46.0,8.0,0.0,0.0,42.0,0.0,0.0,8.0,42.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2014,APR,11.0,43.0,6.0,10.0,0.0,696.0,76.0,34.0,0.0,0.0,34.0,17.0,16.0,772.0,767.0,4.0,1.0,85.0,687.0,54.0,50.0,0.0,0.0,50.0,4.0,0.0,0.0,4.0,0.0,696.0,2.0,7.0,2.0,2014-04-01
Contra Costa,1648.0,1697.0,-49.0,2832.0,4480.0,2800.0,1416.0,11.0,57.0,0.0,1102.0,0.0,97.0,0.0,282.0,1680.0,5299.0,26932.0,5362.0,26656.0,-63.0,276.0,333.0,2624.0,151.0,3.0,0.0,1245.0,7.0,10.0,154.0,1262.0,-2.0,2.0,6.0,36.0,8.0,36.0,167.0,1288.0,5632.0,29556.0,5552.0,29153.0,72358.0,35.0,409.0,78.0,283.0,165.0,3.0,2.0,120.0,248.0,2413.0,5384.0,27143.0,425.0,1523.0,414.0,0.0,0.0,1476.0,9.0,1.0,414.0,1486.0,11.0,0.0,0.0,36.0,1.0,0.0,11.0,37.0,0.0,0.0,2014,APR,68.0,1102.0,97.0,282.0,213.0,32231.0,2957.0,1396.0,10.0,10.0,1416.0,0.0,1455.0,35188.0,34705.0,361.0,122.0,2661.0,32527.0,1948.0,1890.0,9.0,1.0,1900.0,47.0,1.0,0.0,48.0,0.0,32018.0,42.0,44.0,2.0,2014-04-01
Del Norte,70.0,72.0,-2.0,182.0,252.0,192.0,101.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,9.0,60.0,419.0,1901.0,419.0,1901.0,0.0,0.0,30.0,187.0,13.0,0.0,0.0,88.0,0.0,0.0,13.0,88.0,0.0,0.0,1.0,2.0,1.0,25.0,15.0,72.0,449.0,2088.0,448.0,2080.0,5211.0,0.0,7.0,1.0,5.0,5.0,0.0,0.0,3.0,24.0,153.0,425.0,1935.0,50.0,175.0,50.0,0.0,0.0,173.0,0.0,0.0,50.0,173.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2014,APR,0.0,82.0,0.0,9.0,0.0,2320.0,217.0,101.0,0.0,0.0,101.0,0.0,87.0,2537.0,2528.0,6.0,3.0,177.0,2360.0,225.0,223.0,0.0,0.0,223.0,2.0,0.0,0.0,2.0,0.0,2320.0,3.0,26.0,2.0,2014-04-01
El Dorado,359.0,368.0,-9.0,713.0,1072.0,767.0,433.0,3.0,2.0,0.0,276.0,0.0,0.0,0.0,58.0,305.0,569.0,5730.0,569.0,5730.0,0.0,0.0,48.0,621.0,25.0,0.0,0.0,406.0,1.0,1.0,25.0,408.0,-3.0,3.0,1.0,5.0,2.0,29.0,23.0,176.0,617.0,6351.0,616.0,6317.0,12595.0,0.0,29.0,1.0,23.0,13.0,2.0,0.0,11.0,33.0,535.0,584.0,5816.0,87.0,477.0,87.0,0.0,0.0,465.0,2.0,1.0,87.0,468.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,9.0,0.0,0.0,2014,APR,5.0,276.0,0.0,58.0,0.0,6299.0,669.0,431.0,1.0,1.0,433.0,0.0,199.0,6968.0,6933.0,24.0,11.0,568.0,6400.0,564.0,552.0,2.0,1.0,555.0,8.0,1.0,0.0,9.0,0.0,6299.0,6.0,31.0,2.0,2014-04-01
Fresno,2152.0,2055.0,97.0,4581.0,6733.0,4800.0,3290.0,11.0,275.0,4.0,1401.0,1.0,448.0,0.0,105.0,1933.0,15362.0,74752.0,14889.0,71901.0,473.0,2851.0,294.0,3086.0,285.0,4.0,1.0,2959.0,261.0,14.0,290.0,3000.0,-4.0,4.0,3.0,31.0,2.0,12.0,3.0,39.0,15656.0,77838.0,15479.0,77098.0,222932.0,52.0,797.0,173.0,567.0,205.0,1.0,4.0,173.0,627.0,4599.0,15029.0,73239.0,1419.0,4650.0,1378.0,18.0,0.0,4031.0,29.0,14.0,1396.0,4074.0,23.0,0.0,0.0,571.0,5.0,0.0,23.0,576.0,3.0,47.0,2014,APR,286.0,1405.0,449.0,105.0,3324.0,90114.0,3380.0,3244.0,265.0,15.0,3290.0,0.0,42.0,93494.0,92577.0,740.0,177.0,5226.0,88268.0,6069.0,5409.0,47.0,14.0,5470.0,594.0,5.0,0.0,599.0,50.0,86790.0,34.0,14.0,2.0,2014-04-01
Glenn,45.0,46.0,-1.0,118.0,163.0,140.0,80.0,0.0,1.0,0.0,45.0,0.0,0.0,0.0,15.0,23.0,243.0,1202.0,243.0,1202.0,0.0,0.0,7.0,117.0,4.0,0.0,0.0,75.0,0.0,1.0,4.0,76.0,-3.0,3.0,1.0,6.0,1.0,6.0,4.0,26.0,250.0,1319.0,250.0,1306.0,3718.0,0.0,12.0,0.0,12.0,1.0,0.0,0.0,1.0,12.0,97.0,238.0,1222.0,18.0,112.0,17.0,0.0,0.0,105.0,0.0,1.0,17.0,106.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,2014,APR,1.0,45.0,0.0,15.0,0.0,1445.0,124.0,79.0,0.0,1.0,80.0,0.0,30.0,1569.0,1556.0,12.0,1.0,109.0,1460.0,130.0,122.0,0.0,1.0,123.0,7.0,0.0,0.0,7.0,0.0,1445.0,7.0,7.0,2.0,2014-04-01
Humboldt,594.0,600.0,-6.0,1091.0,1685.0,1340.0,592.0,0.0,8.0,0.0,648.0,0.0,10.0,0.0,100.0,345.0,995.0,8145.0,995.0,8145.0,0.0,0.0,60.0,935.0,25.0,0.0,0.0,565.0,2.0,0.0,25.0,567.0,1.0,-1.0,3.0,15.0,0.0,38.0,31.0,316.0,1055.0,9080.0,1053.0,9052.0,18475.0,3.0,20.0,2.0,16.0,13.0,2.0,0.0,12.0,44.0,719.0,1011.0,8361.0,112.0,775.0,111.0,0.0,0.0,761.0,1.0,1.0,111.0,763.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,12.0,0.0,1.0,2014,APR,8.0,648.0,10.0,100.0,0.0,9140.0,995.0,590.0,2.0,0.0,592.0,0.0,347.0,10135.0,10105.0,18.0,12.0,763.0,9372.0,887.0,872.0,1.0,1.0,874.0,13.0,0.0,0.0,13.0,1.0,9140.0,18.0,38.0,2.0,2014-04-01
Imperial,615.0,624.0,-9.0,1227.0,1842.0,1149.0,651.0,1.0,35.0,0.0,428.0,0.0,8.0,0.0,70.0,693.0,2118.0,12151.0,2118.0,12152.0,0.0,-1.0,55.0,1004.0,41.0,0.0,0.0,581.0,24.0,5.0,41.0,610.0,-36.0,36.0,3.0,4.0,6.0,78.0,41.0,276.0,2173.0,13155.0,2156.0,12779.0,38162.0,19.0,355.0,16.0,335.0,47.0,1.0,1.0,41.0,73.0,842.0,2100.0,12313.0,211.0,1129.0,207.0,1.0,0.0,1067.0,29.0,1.0,208.0,1097.0,2.0,1.0,0.0,29.0,2.0,1.0,3.0,32.0,0.0,0.0,2014,APR,36.0,428.0,8.0,70.0,-1.0,14269.0,1059.0,622.0,24.0,5.0,651.0,0.0,317.0,15328.0,14935.0,351.0,42.0,915.0,14413.0,1340.0,1274.0,30.0,1.0,1305.0,31.0,3.0,1.0,35.0,0.0,14270.0,7.0,84.0,2.0,2014-04-01
Inyo,26.0,26.0,0.0,79.0,105.0,90.0,57.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,15.0,114.0,925.0,114.0,925.0,0.0,0.0,2.0,74.0,2.0,0.0,0.0,53.0,1.0,1.0,2.0,55.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,14.0,116.0,999.0,116.0,993.0,2227.0,0.0,6.0,0.0,5.0,1.0,0.0,0.0,1.0,5.0,62.0,111.0,937.0,10.0,82.0,10.0,0.0,0.0,78.0,2.0,0.0,10.0,80.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2014,APR,0.0,32.0,0.0,1.0,0.0,1039.0,76.0,55.0,1.0,1.0,57.0,0.0,14.0,1115.0,1109.0,5.0,1.0,67.0,1048.0,92.0,88.0,2.0,0.0,90.0,2.0,0.0,0.0,2.0,0.0,1039.0,2.0,3.0,2.0,2014-04-01
Kern,3118.0,3129.0,-11.0,5325.0,8443.0,5508.0,3240.0,6.0,47.0,0.0,2060.0,0.0,16.0,0.0,208.0,2935.0,11153.0,45797.0,11153.0,45797.0,0.0,0.0,480.0,4288.0,286.0,8.0,0.0,2883.0,46.0,17.0,294.0,2946.0,-60.0,60.0,16.0,23.0,52.0,280.0,178.0,979.0,11633.0,50085.0,11548.0,49233.0,148135.0,29.0,799.0,80.0,670.0,225.0,15.0,5.0,182.0,492.0,3985.0,11141.0,46100.0,1184.0,4310.0,1149.0,10.0,0.0,4120.0,55.0,14.0,1159.0,4189.0,23.0,2.0,0.0,121.0,0.0,0.0,25.0,121.0,0.0,0.0,2014,APR,53.0,2060.0,16.0,208.0,0.0,56950.0,4768.0,3169.0,54.0,17.0,3240.0,0.0,1157.0,61718.0,60781.0,750.0,187.0,4477.0,57241.0,5494.0,5269.0,65.0,14.0,5348.0,144.0,2.0,0.0,146.0,0.0,56950.0,39.0,332.0,2.0,2014-04-01
Kings,2597.0,2597.0,0.0,779.0,3376.0,902.0,567.0,1.0,4.0,0.0,312.0,0.0,2.0,0.0,23.0,2474.0,1298.0,7847.0,1298.0,7847.0,0.0,0.0,106.0,866.0,46.0,1.0,0.0,506.0,10.0,4.0,47.0,520.0,-13.0,13.0,4.0,9.0,7.0,45.0,61.0,279.0,1404.0,8713.0,1380.0,8569.0,24423.0,6.0,123.0,13.0,116.0,37.0,2.0,11.0,28.0,7.0,716.0,1397.0,7997.0,179.0,741.0,174.0,3.0,0.0,709.0,6.0,5.0,177.0,720.0,2.0,0.0,0.0,21.0,0.0,0.0,2.0,21.0,0.0,0.0,2014,APR,5.0,312.0,2.0,23.0,0.0,9145.0,972.0,552.0,11.0,4.0,567.0,0.0,340.0,10117.0,9949.0,129.0,39.0,723.0,9394.0,920.0,883.0,9.0,5.0,897.0,23.0,0.0,0.0,23.0,0.0,9145.0,13.0,52.0,2.0,2014-04-01
Lake,441.0,444.0,-3.0,454.0,895.0,443.0,259.0,0.0,33.0,0.0,150.0,0.0,3.0,0.0,34.0,452.0,672.0,4313.0,672.0,4313.0,0.0,0.0,45.0,448.0,16.0,0.0,0.0,243.0,0.0,0.0,16.0,243.0,0.0,0.0,3.0,3.0,2.0,2.0,24.0,200.0,717.0,4761.0,715.0,4733.0,10998.0,1.0,23.0,2.0,19.0,9.0,0.0,0.0,9.0,45.0,367.0,672.0,4394.0,78.0,420.0,77.0,1.0,0.0,406.0,1.0,0.0,78.0,407.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,2014,APR,33.0,150.0,3.0,34.0,0.0,4985.0,493.0,259.0,0.0,0.0,259.0,0.0,224.0,5478.0,5448.0,21.0,9.0,412.0,5066.0,498.0,483.0,2.0,0.0,485.0,13.0,0.0,0.0,13.0,0.0,4985.0,6.0,4.0,2.0,2014-04-01
Lassen,49.0,49.0,0.0,131.0,180.0,141.0,104.0,1.0,3.0,0.0,37.0,0.0,2.0,0.0,0.0,39.0,286.0,1138.0,287.0,1138.0,-1.0,0.0,23.0,160.0,7.0,0.0,0.0,97.0,0.0,0.0,7.0,97.0,0.0,0.0,0.0,3.0,2.0,18.0,14.0,42.0,309.0,1298.0,308.0,1298.0,3295.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,115.0,286.0,1183.0,38.0,128.0,37.0,0.0,0.0,124.0,0.0,0.0,37.0,124.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,2014,APR,4.0,37.0,2.0,0.0,-1.0,1424.0,183.0,104.0,0.0,0.0,104.0,0.0,56.0,1607.0,1606.0,1.0,0.0,138.0,1469.0,166.0,161.0,0.0,0.0,161.0,5.0,0.0,0.0,5.0,0.0,1425.0,3.0,20.0,2.0,2014-04-01
Los Angeles,11006.0,19652.0,-8646.0,48848.0,59854.0,42125.0,27808.0,99.0,925.0,1585.0,9991.0,118.0,832.0,722.0,2019.0,17729.0,84224.0,452289.0,88092.0,452883.0,-3868.0,-594.0,4484.0,39127.0,1985.0,46.0,4.0,25166.0,310.0,297.0,2035.0,25773.0,81.0,63.0,360.0,98.0,806.0,972.0,1202.0,12221.0,88708.0,491416.0,86583.0,482057.0,1168288.0,770.0,9311.0,2047.0,5844.0,4378.0,306.0,78.0,3515.0,3013.0,41491.0,85695.0,449925.0,7546.0,30473.0,6804.0,206.0,7.0,27108.0,379.0,191.0,7017.0,27678.0,509.0,19.0,1.0,2719.0,64.0,12.0,529.0,2795.0,124.0,904.0,2014,APR,1024.0,11576.0,950.0,2741.0,-4462.0,536513.0,43611.0,27151.0,356.0,301.0,27808.0,144.0,13423.0,580124.0,568640.0,7891.0,3593.0,44504.0,535620.0,38019.0,33912.0,585.0,198.0,34695.0,3228.0,83.0,13.0,3324.0,1028.0,540975.0,458.0,1778.0,2.0,2014-04-01
Madera,2694.0,2694.0,0.0,719.0,3413.0,826.0,519.0,1.0,10.0,0.0,265.0,0.0,1.0,0.0,42.0,2587.0,1974.0,8787.0,1974.0,8787.0,0.0,0.0,136.0,696.0,32.0,0.0,0.0,484.0,2.0,1.0,32.0,487.0,42.0,-42.0,2.0,12.0,9.0,54.0,51.0,185.0,2110.0,9483.0,2104.0,9422.0,28758.0,1.0,71.0,5.0,56.0,7.0,3.0,1.0,5.0,99.0,610.0,2011.0,8873.0,193.0,725.0,189.0,0.0,0.0,695.0,1.0,1.0,189.0,697.0,4.0,0.0,0.0,28.0,0.0,0.0,4.0,28.0,0.0,0.0,2014,APR,11.0,265.0,1.0,42.0,0.0,10761.0,832.0,516.0,2.0,1.0,519.0,0.0,236.0,11593.0,11526.0,61.0,6.0,709.0,10884.0,918.0,884.0,1.0,1.0,886.0,32.0,0.0,0.0,32.0,0.0,10761.0,14.0,63.0,2.0,2014-04-01
Marin,294.0,295.0,-1.0,478.0,772.0,540.0,328.0,0.0,13.0,0.0,181.0,0.0,3.0,0.0,31.0,232.0,746.0,4980.0,746.0,4980.0,0.0,0.0,38.0,429.0,13.0,1.0,0.0,292.0,13.0,9.0,14.0,314.0,3.0,-3.0,1.0,2.0,3.0,25.0,17.0,91.0,784.0,5409.0,738.0,5193.0,10012.0,14.0,250.0,45.0,175.0,46.0,10.0,1.0,41.0,32.0,316.0,752.0,5093.0,76.0,403.0,69.0,6.0,0.0,377.0,17.0,3.0,75.0,397.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,2014,APR,13.0,181.0,3.0,31.0,0.0,5726.0,467.0,305.0,14.0,9.0,328.0,0.0,108.0,6193.0,5931.0,220.0,42.0,348.0,5845.0,479.0,446.0,23.0,3.0,472.0,7.0,0.0,0.0,7.0,0.0,5726.0,3.0,28.0,2.0,2014-04-01
Mariposa,50.0,51.0,-1.0,82.0,132.0,82.0,47.0,1.0,5.0,0.0,22.0,0.0,1.0,0.0,13.0,50.0,138.0,834.0,138.0,834.0,0.0,0.0,2.0,75.0,4.0,0.0,0.0,43.0,0.0,0.0,4.0,43.0,-4.0,4.0,1.0,1.0,0.0,5.0,1.0,22.0,140.0,909.0,140.0,906.0,2085.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,75.0,132.0,834.0,10.0,86.0,10.0,0.0,0.0,83.0,0.0,0.0,10.0,83.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2014,APR,6.0,22.0,1.0,13.0,0.0,972.0,77.0,47.0,0.0,0.0,47.0,0.0,23.0,1049.0,1046.0,3.0,0.0,83.0,966.0,96.0,93.0,0.0,0.0,93.0,2.0,1.0,0.0,3.0,0.0,972.0,2.0,5.0,2.0,2014-04-01
