county,qtr_calfresh_hh_ly,qtr_calfresh_hh_prev_qtr,qtr_calfresh_hh_curr_qtr,qtr_calfresh_pers_ly,qtr_calfresh_pers_prev_qtr,qtr_calfresh_pers_curr_qtr,qtr_medical_rcv_calfresh_ly,qtr_medical_rcv_calfresh_prev_qtr,qtr_medical_rcv_calfresh_curr_qtr,qtr_calfresh_rcv_medical_ly,qtr_calfresh_rcv_medical_prev_qtr,qtr_calfresh_rcv_medical_curr_qtr,qtr_pct_calfresh_rcv_medical_ly,qtr_pct_calfresh_rcv_medical_prev_qtr,qtr_pct_calfresh_rcv_medical_curr_qtr,qtr_timeliness_30d_ly,qtr_timeliness_30d_prev_qtr,qtr_timeliness_30d_curr_qtr,qtr_timeliness_exp_ly,qtr_timeliness_exp_prev_qtr,qtr_timeliness_exp_curr_qtr,qtr_active_err_rt_ly,qtr_active_err_rt_prev_qtr,qtr_active_err_rt_curr_qtr,qtr_30d_churn_reapps_ly,qtr_30d_churn_reapps_prev_qtr,qtr_30d_churn_reapps_curr_qtr,qtr_90d_churn_reapps_ly,qtr_90d_churn_reapps_prev_qtr,qtr_90d_churn_reapps_curr_qtr,qtr_30d_churn_recerts_ly,qtr_30d_churn_recerts_prev_qtr,qtr_30d_churn_recerts_curr_qtr,qtr_90d_churn_recerts_ly,qtr_90d_churn_recerts_prev_qtr,qtr_90d_churn_recerts_curr_qtr,ann_hh_2yr_prior,ann_hh_1yr_prior,ann_hh_yr_of_report,ann_pers_2yr_prior,ann_pers_1yr_prior,ann_pers_yr_of_report,ann_elderly_2yr_prior,ann_elderly_1yr_prior,ann_elderly_yr_of_report,ann_children_2yr_prior,ann_children_1yr_prior,ann_children_yr_of_report,ann_child_only_hh_2yr_prior,ann_child_only_hh_1yr_prior,ann_child_only_hh_yr_of_report,ann_child_only_pers_2yr_prior,ann_child_only_pers_1yr_prior,ann_child_only_pers_yr_of_report,ann_esl_2yr_prior,ann_esl_1yr_prior,ann_esl_yr_of_report,ann_tot_pop_2yr_prior,ann_tot_pop_1yr_prior,ann_tot_pop_yr_of_report,ann_elderly_over60_2yr_prior,ann_elderly_over60_1yr_prior,ann_elderly_over60_yr_of_report,ann_children_less18_2yr_prior,ann_children_less18_1yr_prior,ann_children_less18_yr_of_report,ann_tot_pop_greater5_2yr_prior,ann_tot_pop_greater5_1yr_prior,ann_tot_pop_greater5_yr_of_report,ann_tot_esl_greater5_2yr_prior,ann_tot_esl_greater5_1yr_prior,ann_tot_esl_greater5_yr_of_report,ann_medical_2yr_prior,ann_medical_1yr_prior,ann_medical_yr_of_report,ann_ssi_rcpt_2yr_prior,ann_ssi_rcpt_1yr_prior,ann_ssi_rcpt_yr_of_report,ann_unempl_pct_2yr_prior,ann_unempl_pct_1yr_prior,ann_unempl_pct_yr_of_report,ann_calfresh_eligibles_2yr_prior,ann_calfresh_eligibles_1yr_prior,ann_calfresh_eligibles_yr_of_report,ann_eligibles_excl_undocs_ssi_2yr_prior,ann_eligibles_excl_undocs_ssi_1yr_prior,ann_eligibles_excl_undocs_ssi_yr_of_report,year,month,quarter,fulldate
California,1843348.0,1926913.0,1942841.0,4074650.0,4202850.0,4221057.0,0.41496592241,0.404828308259,0.402148413687,3205731.0,3271525.0,3287488.0,0.815691033687,0.817534729345,0.815385361788,0.976601970155,0.970836609799,0.972756475836,0.941683128147,0.943044251918,0.918792727467,0.0364,0.0319,0.0296,0.0817,0.1301,0.1203,0.1672,0.2176,0.2055,0.0864,0.0802,0.0794,0.1092,0.1044,0.1006,1684027.0,1843348.0,1942841.0,3813817.0,4074650.0,4221057.0,115078.0,141407.0,176557.0,2138572.0,2184693.0,2272684.0,356627.0,372370.0,341378.0,,,,1226258.0,1268115.0,1314549.0,37570307.0,37826160.0,38202206.0,6313717.1538,6506533.98504,6820715.0,9214425.43405,9170525.64916,9150549.08111,,,,3841701.0,3775905.0,3750293.0,7594872.0,7619341.0,7280074.0,1165670.0,1176286.0,1187606.0,0.118,0.105,0.089,6883373.60558,7121279.81808,7166748.68844,0.552,0.57,0.584,2013,SEP,3.0,2013-09-01
Alameda,62045.0,62980.0,62875.0,124622.0,126214.0,125835.0,0.366603487632,0.34270909911,0.345221555366,98451.0,96499.0,97900.0,0.755902428537,0.753616048404,0.75113449728,0.91091954023,0.914123801221,0.886974789916,0.877054295819,0.862309905467,0.871384496722,0.0158,0.04,0.0316,0.0779,0.0989,0.0811,0.1615,0.2026,0.1774,0.0428,0.05,0.0491,0.0815,0.095,0.0853,56312.0,62045.0,62875.0,116353.0,124622.0,125835.0,4838.0,5848.0,7267.0,60943.0,61164.0,63938.0,10808.0,11499.0,9990.0,,,,34800.0,36077.0,39263.0,1526220.0,1540790.0,1563370.0,256847.773763,265902.963437,282890.0,341529.950567,343819.788943,346038.367783,,,,140068.0,134661.0,133681.0,250554.0,253472.0,243275.0,48001.0,48146.0,48141.0,0.104,0.09,0.073,220934.826201,220282.406243,220033.771078,0.525249543777,0.564952063684,0.567172440383,2013,SEP,3.0,2013-09-01
Alpine,84.0,85.0,91.0,147.0,153.0,171.0,0.449814126394,0.543650793651,0.539855072464,121.0,137.0,149.0,0.812080536913,0.861271676301,0.850931677019,1.0,1.0,1.0,1.0,0.95,0.727272727273,0.0545,0.059000000000000004,0.0529,0.0526,0.0714,0.087,0.1053,0.1429,0.2174,0.1053,0.1071,0.2174,0.1053,0.1071,0.2174,78.0,84.0,91.0,144.0,147.0,171.0,13.0,9.0,11.0,46.0,53.0,62.0,2.0,2.0,0.0,,,,0.0,0.0,0.0,1118.0,1127.0,1228.0,275.946367192,292.543627943,369.0,238.651449866,244.509282571,242.562389451,,,,21.0,24.0,25.0,193.0,201.0,184.0,44.0,41.0,42.0,0.148,0.133,0.098,208.714827212,194.823157895,221.78022827,0.72107958026,0.748969825987,0.701349510542,2013,SEP,3.0,2013-09-01
Amador,1717.0,1717.0,1685.0,3287.0,3262.0,3280.0,0.483634412449,0.480682024306,0.487029140014,2704.0,2650.0,2741.0,0.822884966525,0.833384007297,0.815635580179,0.956204379562,0.973214285714,0.97247706422,0.927601809955,0.955555555556,0.944186046512,0.0545,0.059000000000000004,0.0529,0.0328,0.1439,0.1553,0.1466,0.2064,0.2235,0.1517,0.197,0.1894,0.1707,0.2102,0.2082,1485.0,1717.0,1685.0,2906.0,3287.0,3280.0,133.0,182.0,194.0,1175.0,1230.0,1298.0,60.0,61.0,69.0,,,,85.0,81.0,98.0,37288.0,36899.0,36945.0,11474.824987,11710.7713105,11769.0,6120.13512608,6008.55795106,5919.40380913,,,,458.0,507.0,484.0,4505.0,4522.0,4116.0,628.0,654.0,674.0,0.128,0.118,0.103,4098.06370112,4236.60312105,4989.42328701,0.703462304051,0.766750288816,0.657044419504,2013,SEP,3.0,2013-09-01
Butte,13988.0,14409.0,14733.0,29226.0,29770.0,30211.0,0.437671049997,0.437808957907,0.441744161341,26227.0,26304.0,27029.0,0.870316907251,0.870807693547,0.861353068308,0.894797687861,0.941542288557,0.96018735363,0.948701298701,0.952876376989,0.939010356732,0.0545,0.059000000000000004,0.0529,0.0356,0.1357,0.1318,0.116,0.2106,0.2009,0.2469,0.2273,0.1774,0.2637,0.2431,0.1958,12883.0,13988.0,14733.0,27531.0,29226.0,30211.0,697.0,842.0,1116.0,12820.0,12905.0,13523.0,1166.0,1187.0,1063.0,,,,3175.0,2929.0,2782.0,220521.0,221118.0,222035.0,48591.7609013,49667.3349056,51734.0,46264.8455663,45991.9295852,45459.1290451,,,,5007.0,5475.0,4375.0,52008.0,51266.0,47746.0,10702.0,10828.0,10914.0,0.136,0.122,0.103,61542.5023254,56950.0713521,57536.0654571,0.442943206781,0.511543110922,0.520653669978,2013,SEP,3.0,2013-09-01
Calaveras,2522.0,2571.0,2576.0,4998.0,5023.0,4969.0,0.497777777778,0.474666983825,0.48047518231,4144.0,3991.0,4085.0,0.819134216248,0.823422697037,0.822886597938,1.0,0.981651376147,0.98,0.992277992278,0.979674796748,0.986440677966,0.0545,0.059000000000000004,0.0529,0.0278,0.1398,0.1062,0.1071,0.2165,0.1884,0.209,0.1744,0.1669,0.2341,0.197,0.1909,2309.0,2522.0,2576.0,4736.0,4998.0,4969.0,219.0,278.0,322.0,1877.0,1881.0,1808.0,58.0,66.0,103.0,,,,123.0,148.0,134.0,45143.0,45045.0,45214.0,14096.5996033,14457.6823928,15224.0,8594.38569943,8279.80904997,7993.1633063,,,,510.0,559.0,410.0,6701.0,6850.0,6097.0,1005.0,1023.0,1043.0,0.146,0.13,0.1,4922.50218245,5990.38152211,6021.95863538,0.95488361253,0.830651044229,0.824271233542,2013,SEP,3.0,2013-09-01
Colusa,701.0,733.0,713.0,1728.0,1840.0,1710.0,0.284846252992,0.301613494683,0.284806679978,1547.0,1645.0,1569.0,0.894736842105,0.878991596639,0.893051031488,0.9375,0.980392156863,1.0,1.0,1.0,0.957746478873,0.0545,0.059000000000000004,0.0529,0.0433,0.112,0.1341,0.1535,0.1931,0.1993,0.1693,0.1583,0.1775,0.189,0.166,0.221,673.0,701.0,713.0,1716.0,1728.0,1710.0,44.0,39.0,72.0,1083.0,1055.0,1032.0,87.0,108.0,164.0,,,,590.0,598.0,553.0,21502.0,21614.0,21987.0,3686.64517126,3794.18876584,4033.0,6264.19980263,6173.21146509,6106.33361411,,,,3215.0,3235.0,2986.0,4710.0,4695.0,4193.0,541.0,556.0,564.0,0.205,0.2,0.19,4440.91479788,4435.38528124,3770.96131854,0.379932981557,0.389049253654,0.461131511044,2013,SEP,3.0,2013-09-01
Contra Costa,32977.0,33077.0,32730.0,68789.0,68625.0,67763.0,0.356290701399,0.325391498881,0.326079455836,53398.0,52362.0,52924.0,0.751290889905,0.74802125735,0.744053201466,0.965229485396,0.949573863636,0.949928469242,0.846475507766,0.93671641791,0.792150359315,0.0356,0.030600000000000002,0.04019999999999999,0.0878,0.1149,0.0925,0.1598,0.2042,0.1782,0.0335,0.0448,0.0331,0.057,0.0813,0.0608,30338.0,32977.0,32730.0,64763.0,68789.0,67763.0,1979.0,2515.0,3064.0,35431.0,35507.0,36829.0,6233.0,6651.0,5449.0,,,,14843.0,15201.0,15787.0,1061375.0,1069803.0,1081862.0,198716.978801,205602.70448,215513.0,258002.504309,255890.305193,253745.815595,,,,62372.0,66528.0,66244.0,141199.0,143428.0,131952.0,23292.0,23603.0,24041.0,0.104,0.09,0.075,149671.96301,135136.625367,145292.779558,0.432285927386,0.507232956381,0.470679711987,2013,SEP,3.0,2013-09-01
Del Norte,2629.0,2542.0,2525.0,5445.0,5149.0,5132.0,0.506241476975,0.487109757424,0.485825578879,4826.0,4478.0,4490.0,0.882751051765,0.870830100853,0.865815931941,1.0,1.0,1.0,0.988047808765,0.974358974359,0.983673469388,0.0545,0.059000000000000004,0.0529,0.0656,0.211,0.1862,0.1826,0.2649,0.2524,0.2297,0.1898,0.197,0.2625,0.1997,0.2227,2525.0,2629.0,2525.0,5328.0,5445.0,5132.0,122.0,157.0,193.0,2398.0,2343.0,2218.0,160.0,173.0,167.0,,,,333.0,285.0,262.0,28498.0,28359.0,28530.0,5761.25901365,5913.46322918,6153.0,5949.44384706,5778.23278036,5697.85295788,,,,577.0,549.0,733.0,8219.0,8091.0,7460.0,1936.0,1869.0,1817.0,0.131,0.134,0.118,5501.8577072,5695.77379168,5923.47912356,0.954283737011,0.944472199346,0.864310849406,2013,SEP,3.0,2013-09-01
El Dorado,6081.0,6409.0,6397.0,11620.0,11947.0,11765.0,0.421350725135,0.412283317007,0.403871075624,9820.0,9680.0,9661.0,0.813317873116,0.804882112805,0.800595484244,1.0,0.992366412214,0.995433789954,0.958937198068,0.963553530752,0.977099236641,0.0545,0.059000000000000004,0.0529,0.0321,0.1348,0.1232,0.131,0.2115,0.2074,0.1573,0.178,0.1682,0.1731,0.2001,0.1903,5602.0,6081.0,6397.0,11204.0,11620.0,11765.0,481.0,581.0,732.0,4898.0,4822.0,4716.0,358.0,402.0,417.0,,,,850.0,864.0,882.0,180663.0,180599.0,184054.0,41293.391932,42806.3715421,46098.0,40109.211018,39167.5764207,38275.545249,,,,3350.0,3301.0,3580.0,19110.0,19049.0,17413.0,2777.0,2818.0,2850.0,0.119,0.104,0.085,25382.8934312,19222.8583872,26641.3835952,0.435000972733,0.606322419135,0.441067045998,2013,SEP,3.0,2013-09-01
