county,qtr_calfresh_hh_ly,qtr_calfresh_hh_prev_qtr,qtr_calfresh_hh_curr_qtr,qtr_calfresh_pers_ly,qtr_calfresh_pers_prev_qtr,qtr_calfresh_pers_curr_qtr,qtr_medical_rcv_calfresh_ly,qtr_medical_rcv_calfresh_prev_qtr,qtr_medical_rcv_calfresh_curr_qtr,qtr_calfresh_rcv_medical_ly,qtr_calfresh_rcv_medical_prev_qtr,qtr_calfresh_rcv_medical_curr_qtr,qtr_pct_calfresh_rcv_medical_ly,qtr_pct_calfresh_rcv_medical_prev_qtr,qtr_pct_calfresh_rcv_medical_curr_qtr,qtr_timeliness_30d_ly,qtr_timeliness_30d_prev_qtr,qtr_timeliness_30d_curr_qtr,qtr_timeliness_exp_ly,qtr_timeliness_exp_prev_qtr,qtr_timeliness_exp_curr_qtr,qtr_active_err_rt_ly,qtr_active_err_rt_prev_qtr,qtr_active_err_rt_curr_qtr,qtr_30d_churn_reapps_ly,qtr_30d_churn_reapps_prev_qtr,qtr_30d_churn_reapps_curr_qtr,qtr_90d_churn_reapps_ly,qtr_90d_churn_reapps_prev_qtr,qtr_90d_churn_reapps_curr_qtr,qtr_30d_churn_recerts_ly,qtr_30d_churn_recerts_prev_qtr,qtr_30d_churn_recerts_curr_qtr,qtr_90d_churn_recerts_ly,qtr_90d_churn_recerts_prev_qtr,qtr_90d_churn_recerts_curr_qtr,ann_hh_2yr_prior,ann_hh_1yr_prior,ann_hh_yr_of_report,ann_pers_2yr_prior,ann_pers_1yr_prior,ann_pers_yr_of_report,ann_elderly_2yr_prior,ann_elderly_1yr_prior,ann_elderly_yr_of_report,ann_children_2yr_prior,ann_children_1yr_prior,ann_children_yr_of_report,ann_child_only_hh_2yr_prior,ann_child_only_hh_1yr_prior,ann_child_only_hh_yr_of_report,ann_child_only_pers_2yr_prior,ann_child_only_pers_1yr_prior,ann_child_only_pers_yr_of_report,ann_esl_2yr_prior,ann_esl_1yr_prior,ann_esl_yr_of_report,ann_tot_pop_2yr_prior,ann_tot_pop_1yr_prior,ann_tot_pop_yr_of_report,ann_elderly_over60_2yr_prior,ann_elderly_over60_1yr_prior,ann_elderly_over60_yr_of_report,ann_children_less18_2yr_prior,ann_children_less18_1yr_prior,ann_children_less18_yr_of_report,ann_tot_pop_greater5_2yr_prior,ann_tot_pop_greater5_1yr_prior,ann_tot_pop_greater5_yr_of_report,ann_tot_esl_greater5_2yr_prior,ann_tot_esl_greater5_1yr_prior,ann_tot_esl_greater5_yr_of_report,ann_medical_2yr_prior,ann_medical_1yr_prior,ann_medical_yr_of_report,ann_ssi_rcpt_2yr_prior,ann_ssi_rcpt_1yr_prior,ann_ssi_rcpt_yr_of_report,ann_unempl_pct_2yr_prior,ann_unempl_pct_1yr_prior,ann_unempl_pct_yr_of_report,ann_calfresh_eligibles_2yr_prior,ann_calfresh_eligibles_1yr_prior,ann_calfresh_eligibles_yr_of_report,ann_eligibles_excl_undocs_ssi_2yr_prior,ann_eligibles_excl_undocs_ssi_1yr_prior,ann_eligibles_excl_undocs_ssi_yr_of_report,year,month,quarter,fulldate
California,2070802.0,2119268.0,2140611.0,4476030.0,4462799.0,4480570.0,0.411569425467,0.438620494784,0.451654730129,3911196.0,4106210.0,4155673.0,0.909657698002,0.929214907707,0.929243993969,0.970346444491,0.972057355954,0.970696111748,0.927846704166,0.946863443824,0.941718114444,0.0511,0.0462,0.0455,0.1255,0.1277,0.128017935158,0.2024,0.2122,0.210229256619,0.1141,0.1286,0.123202013234,0.1451,0.1631,0.154754605145,1942841.0,2070803.0,2140950.0,4221057.0,4476031.0,4481900.0,176557.0,234156.0,304341.0,2272684.0,2226004.0,2720376.0,341378.0,320176.0,352831.0,,,,1314549.0,1337933.0,1628446.0,38202206.0,38548204.0,38896969.0,6820715.0,7071818.0,7340539.0,9150549.08111,9157600.21082,9184302.14567,,,,3750293.0,3760183.0,,7280074.0,,,1187606.0,1193089.0,1187073.0,0.089,0.075,0.062,7166748.68844,6980318.99332,,0.584,0.634,,2015,SEP,3.0,2015-09-01
Alameda,64020.0,61121.0,62663.0,125434.0,119790.0,121577.0,0.353389040105,0.344321113944,0.358085026805,111396.0,112760.0,114888.0,0.859265201595,0.902303771335,0.901273210798,0.884274193548,0.83507223114,0.784645413142,0.869496544916,0.895572450805,0.884433430953,0.0401,0.0461,0.0334,0.1232,0.1036,0.103921693256,0.2117,0.1987,0.196529587491,0.0691,0.0758,0.0672471874404,0.1285,0.1326,0.113773596898,62875.0,64020.0,62663.0,125835.0,125434.0,121577.0,7267.0,9307.0,12022.0,63938.0,60223.0,71736.0,9990.0,9205.0,10229.0,,,,39263.0,40011.0,48924.0,1563370.0,1582119.0,1599888.0,282890.0,294442.0,306991.0,346038.367783,348427.630746,350485.904233,,,,133681.0,139309.0,,243275.0,,,48141.0,47823.0,47331.0,0.073,0.059,0.047,220033.771078,214362.749217,,0.567172440383,0.587705888546,,2015,SEP,3.0,2015-09-01
Alpine,114.0,102.0,101.0,194.0,163.0,171.0,0.514450867052,0.516556291391,0.543130990415,178.0,156.0,170.0,0.908163265306,0.928571428571,0.944444444444,1.0,1.0,1.0,0.789473684211,0.625,0.75,0.0785,0.0287,0.0236,0.08,0.0,0.0,0.16,0.0625,0.0588235294118,0.04,0.125,0.0,0.04,0.125,0.0,91.0,114.0,101.0,171.0,194.0,171.0,11.0,16.0,21.0,62.0,59.0,66.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,1228.0,1243.0,1252.0,369.0,398.0,425.0,242.562389451,245.126044024,245.248068176,,,,25.0,23.0,,184.0,,,42.0,39.0,39.0,0.098,0.088,0.079,221.78022827,,,0.701349510542,,,2015,SEP,3.0,2015-09-01
Amador,1770.0,1814.0,1823.0,3373.0,3438.0,3445.0,0.471686372122,0.520479197021,0.53236219169,3032.0,3215.0,3216.0,0.893078055965,0.912315550511,0.907193229901,1.0,1.0,1.0,0.953216374269,0.940092165899,0.96174863388,0.0785,0.0287,0.0236,0.1617,0.1444,0.158458244111,0.2298,0.2232,0.235546038544,0.2532,0.2779,0.289079229122,0.2851,0.3173,0.329764453961,1685.0,1770.0,1823.0,3280.0,3373.0,3445.0,194.0,250.0,329.0,1298.0,1222.0,1619.0,69.0,59.0,67.0,,,,98.0,102.0,126.0,36945.0,37017.0,37178.0,11769.0,12078.0,12420.0,5919.40380913,5806.44493987,5741.33883515,,,,484.0,559.0,,4116.0,,,674.0,696.0,688.0,0.103,0.083,0.066,4989.42328701,,,0.657044419504,,,2015,SEP,3.0,2015-09-01
Butte,15571.0,16430.0,16729.0,31036.0,31927.0,32207.0,0.435222672065,0.466570996979,0.474424533026,29670.0,30887.0,31266.0,0.932784205231,0.942970538849,0.941265014902,0.937346437346,0.945745992602,0.920099875156,0.941656942824,0.934959349593,0.926130099228,0.0785,0.0287,0.0236,0.1359,0.1437,0.147766323024,0.2085,0.2223,0.226399838286,0.2806,0.2861,0.226399838286,0.3044,0.3218,0.255104103497,14733.0,15571.0,16729.0,30211.0,31036.0,32207.0,1116.0,1577.0,2080.0,13523.0,12850.0,15753.0,1063.0,878.0,925.0,,,,2782.0,2667.0,3048.0,222035.0,224518.0,226656.0,51734.0,53940.0,55954.0,45459.1290451,45265.6051079,45149.9921323,,,,4375.0,5637.0,,47746.0,,,10914.0,10866.0,10733.0,0.103,0.087,0.072,57536.0654571,54488.4573357,,0.520653669978,0.566930468895,,2015,SEP,3.0,2015-09-01
Calaveras,2768.0,2928.0,2924.0,5231.0,5509.0,5498.0,0.495279146141,0.535172990488,0.561666302209,4826.0,5120.0,5137.0,0.91557579207,0.921360446284,0.922924901186,1.0,1.0,1.0,0.968531468531,0.95154185022,0.94140625,0.0785,0.0287,0.0236,0.0976,0.1161,0.111975116641,0.1816,0.2021,0.189735614308,0.1599,0.2097,0.234836702955,0.1883,0.2459,0.269051321928,2576.0,2768.0,2924.0,4969.0,5231.0,5498.0,322.0,437.0,625.0,1808.0,1778.0,2295.0,103.0,88.0,84.0,,,,134.0,133.0,154.0,45214.0,45508.0,45923.0,15224.0,15719.0,16225.0,7993.1633063,7801.21040307,7637.75323435,,,,410.0,598.0,,6097.0,,,1043.0,1056.0,1057.0,0.1,0.081,0.065,6021.95863538,,,0.824271233542,,,2015,SEP,3.0,2015-09-01
Colusa,725.0,726.0,661.0,1722.0,1725.0,1563.0,0.245230407984,0.270160025102,0.249676375405,1671.0,1722.0,1543.0,0.936659192825,0.956666666667,0.961970074813,0.818181818182,0.875,1.0,0.9375,0.918032786885,0.947368421053,0.0785,0.0287,0.0236,0.0783,0.1361,0.148325358852,0.1521,0.2147,0.22966507177,0.3687,0.4084,0.33014354067,0.4101,0.4921,0.368421052632,713.0,725.0,661.0,1710.0,1722.0,1563.0,72.0,84.0,118.0,1032.0,1004.0,1267.0,164.0,142.0,170.0,,,,553.0,570.0,773.0,21987.0,22254.0,22555.0,4033.0,4198.0,4385.0,6106.33361411,6114.10601679,6166.9855678,,,,2986.0,3111.0,,4193.0,,,564.0,563.0,561.0,0.19,0.175,0.153,3770.96131854,,,0.461131511044,,,2015,SEP,3.0,2015-09-01
Contra Costa,35280.0,35311.0,36075.0,76061.0,71323.0,72362.0,0.339581418555,0.340385201748,0.353369026126,64658.0,66981.0,68114.0,0.883631940743,0.916882263562,0.915535363854,0.934631432545,0.968376669009,0.96568627451,0.827063740857,0.969749854567,0.968495382944,0.0382,0.0228,0.0209,0.087,0.0883,0.0852469010364,0.1571,0.1713,0.157183499289,0.0632,0.0668,0.0649258280837,0.1038,0.1126,0.104551920341,32730.0,35280.0,36075.0,67763.0,76061.0,72362.0,3064.0,3876.0,5175.0,36829.0,36150.0,45190.0,5449.0,5317.0,6102.0,,,,15787.0,16078.0,20122.0,1081862.0,1095476.0,1108963.0,215513.0,223639.0,232490.0,253745.815595,251862.317762,250389.57822,,,,66244.0,68215.0,,131952.0,,,24041.0,24288.0,24238.0,0.075,0.062,0.05,145292.779558,129295.012429,,0.470679711987,0.571433488517,,2015,SEP,3.0,2015-09-01
Del Norte,2545.0,2493.0,2514.0,5227.0,5146.0,5205.0,0.48060740884,0.499041662463,0.520277979463,4969.0,4947.0,5016.0,0.953925897485,0.961142413056,0.961103659705,0.990990990991,1.0,1.0,0.956730769231,0.929245283019,0.945205479452,0.0785,0.0287,0.0236,0.1931,0.2147,0.12996941896,0.2541,0.2712,0.195718654434,0.3069,0.3887,0.316513761468,0.3333,0.4107,0.339449541284,2525.0,2545.0,2514.0,5132.0,5227.0,5205.0,193.0,238.0,288.0,2218.0,2130.0,2603.0,167.0,139.0,144.0,,,,262.0,223.0,288.0,28530.0,28477.0,28587.0,6153.0,6387.0,6622.0,5697.85295788,5654.65491278,5598.64466242,,,,733.0,725.0,,7460.0,,,1817.0,1816.0,1797.0,0.118,0.102,0.086,5923.47912356,,,0.864310849406,,,2015,SEP,3.0,2015-09-01
El Dorado,6871.0,7359.0,7405.0,12479.0,13261.0,13278.0,0.398691009301,0.456211812627,0.470296843922,11574.0,12544.0,12532.0,0.89839323139,0.90878794465,0.909698025552,0.99512195122,0.995,1.0,0.954106280193,0.94929245283,0.946153846154,0.0785,0.0287,0.0236,0.1119,0.1316,0.127263581489,0.19,0.2183,0.207243460765,0.2081,0.2307,0.232897384306,0.2438,0.259,0.266096579477,6397.0,6871.0,7405.0,11765.0,12479.0,13278.0,732.0,972.0,1276.0,4716.0,4740.0,6328.0,417.0,396.0,442.0,,,,882.0,886.0,1067.0,184054.0,184320.0,184833.0,46098.0,47929.0,49793.0,38275.545249,37664.5428464,37280.0018014,,,,3580.0,3522.0,,17413.0,,,2850.0,2851.0,2871.0,0.085,0.07,0.057,26641.3835952,27235.3906697,,0.441067045998,0.456963642793,,2015,SEP,3.0,2015-09-01
